Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,14.05,14.37,13.93,14.29,14.29,27677200
2022-10-26,14.14,14.44,13.99,14.0,14.0,28273700
2022-10-27,14.18,14.48,13.96,13.97,13.97,25575200
2022-10-28,14.0,14.1,13.79,14.0,14.0,26410600
2022-10-31,14.03,14.32,13.89,14.18,14.18,26486700
2022-11-01,14.44,14.54,14.1,14.11,14.11,25606900
2022-11-02,14.0,14.27,13.55,13.58,13.58,34816100
2022-11-03,13.36,13.87,13.2,13.73,13.73,25312300
2022-11-04,14.06,14.4,13.86,14.11,14.11,28238500
2022-11-07,14.32,14.39,13.86,14.32,14.32,23797300
2022-11-08,14.29,14.45,14.08,14.25,14.25,25415700
2022-11-09,14.12,14.34,13.97,13.98,13.98,21047200
2022-11-10,14.46,14.99,14.36,14.93,14.93,35599100
2022-11-11,15.0,15.08,14.72,14.88,14.88,24134000
2022-11-14,14.79,15.03,14.55,14.68,14.68,26266600
2022-11-15,15.02,15.18,14.53,14.61,14.61,29423100
2022-11-16,14.45,14.47,14.01,14.09,14.09,28858000
2022-11-17,13.82,14.02,13.68,13.95,13.95,24041700
2022-11-18,14.26,14.58,13.92,14.05,14.05,25968300
2022-11-21,14.02,14.27,13.8,13.85,13.85,25708400
2022-11-22,13.85,14.03,13.36,13.98,13.98,26387000
2022-11-23,13.98,14.43,13.88,14.42,14.42,23686400
2022-11-25,14.4,14.7,14.35,14.5,14.5,9903900
2022-11-28,14.34,14.44,13.82,13.83,13.83,21313800
2022-11-29,13.89,14.16,13.83,14.14,14.14,17335300
2022-11-30,14.12,14.45,13.93,14.43,14.43,21241800
2022-12-01,14.46,14.57,13.93,13.98,13.98,26519600
2022-12-02,13.82,13.98,13.67,13.97,13.97,24124300
2022-12-05,13.84,14.34,13.82,14.11,14.11,27029000
2022-12-06,14.14,14.34,14.0,14.33,14.33,20781500
2022-12-07,14.24,14.24,13.53,13.55,13.55,28161400
2022-12-08,13.65,13.8,13.38,13.6,13.6,25300900
2022-12-09,13.52,13.66,13.42,13.53,13.53,18535400
2022-12-12,13.49,14.21,13.45,14.2,14.2,23344600
2022-12-13,14.6,14.74,13.29,13.46,13.46,51620100
2022-12-14,13.58,13.69,13.24,13.35,13.35,33728900
2022-12-15,13.16,13.31,12.8,12.93,12.93,26158300
2022-12-16,12.97,13.1,12.59,12.81,12.81,26395000
2022-12-19,12.85,12.89,12.46,12.48,12.48,21884000
2022-12-20,12.42,12.62,12.38,12.53,12.53,20354200
2022-12-21,12.69,13.22,12.65,13.03,13.03,29778900
2022-12-22,12.98,13.0,12.23,12.56,12.56,25372900
2022-12-23,12.51,12.71,12.33,12.71,12.71,17181200
2022-12-27,12.62,12.79,12.4,12.53,12.53,18878200
2022-12-28,12.52,12.68,12.25,12.32,12.32,20470400
