Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,63.0,70.0,62.700001,67.5,67.5,2679820
2022-10-26,65.400002,71.099998,65.0,66.400002,66.400002,2217760
2022-10-27,68.300003,69.300003,64.900002,65.099998,65.099998,1387330
2022-10-28,65.5,67.0,63.599998,65.099998,65.099998,1566860
2022-10-31,68.199997,72.5,65.400002,66.599998,66.599998,3485910
2022-11-01,67.599998,68.5,61.299999,61.5,61.5,2135430
2022-11-02,62.599998,63.299999,57.900002,58.099998,58.099998,2211280
2022-11-03,57.5,58.5,55.799999,57.0,57.0,1654320
2022-11-04,58.299999,58.5,54.200001,56.5,56.5,1813460
2022-11-07,55.599998,56.099998,51.700001,53.299999,53.299999,2003790
2022-11-08,53.799999,56.200001,53.0,56.200001,56.200001,2718980
2022-11-09,53.700001,53.900002,50.5,51.900002,51.900002,2571120
2022-11-10,55.0,62.700001,53.5,61.299999,61.299999,4005250
2022-11-11,60.099998,72.800003,59.299999,72.0,72.0,4382230
2022-11-14,80.199997,83.5,72.900002,73.400002,73.400002,5308390
2022-11-15,78.300003,81.900002,74.599998,79.5,79.5,4434980
2022-11-16,77.400002,78.0,71.599998,75.300003,75.300003,2992970
2022-11-17,72.900002,74.199997,71.0,73.900002,73.900002,1712000
2022-11-18,75.300003,78.400002,73.400002,75.900002,75.900002,2157210
2022-11-21,73.0,75.599998,70.5,72.699997,72.699997,1689270
2022-11-22,72.099998,75.099998,70.699997,73.199997,73.199997,1459190
2022-11-23,73.5,79.900002,72.800003,76.400002,76.400002,3750900
2022-11-25,76.599998,77.400002,75.0,75.099998,75.099998,828760
2022-11-28,74.400002,74.400002,71.199997,73.300003,73.300003,1787320
2022-11-29,72.900002,76.199997,70.800003,74.300003,74.300003,1631780
2022-11-30,74.800003,74.800003,69.599998,72.300003,72.300003,4491380
2022-12-01,72.900002,91.5,72.099998,81.699997,81.699997,9670850
2022-12-02,81.800003,86.300003,79.199997,81.699997,81.699997,3476560
2022-12-05,81.800003,85.400002,74.099998,74.5,74.5,2831340
2022-12-06,74.599998,74.800003,66.800003,67.5,67.5,2618810
2022-12-07,67.699997,71.300003,60.0,60.5,60.5,3923440
2022-12-08,62.400002,67.0,59.700001,60.700001,60.700001,3049640
2022-12-09,60.5,61.299999,58.099998,59.400002,59.400002,2315640
2022-12-12,59.900002,60.0,56.099998,59.5,59.5,1752380
2022-12-13,65.0,65.099998,55.299999,57.200001,57.200001,3493240
2022-12-14,57.700001,58.799999,56.099998,57.5,57.5,2215590
2022-12-15,56.0,60.5,55.299999,56.0,56.0,2870650
2022-12-16,56.5,57.299999,51.299999,53.099998,53.099998,2969450
2022-12-19,52.299999,53.200001,47.799999,48.900002,48.900002,2949140
2022-12-20,48.700001,51.5,47.400002,50.799999,50.799999,2227380
2022-12-21,51.400002,53.700001,50.5,53.0,53.0,1960760
2022-12-22,41.400002,49.799999,41.099998,49.099998,49.099998,5546140
2022-12-23,47.0,48.200001,43.099998,44.0,44.0,3031110
2022-12-27,42.0,42.099998,40.0,40.299999,40.299999,2167650
