Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,38.240002,38.240002,36.080002,36.310001,36.130566,722300
2022-10-26,36.049999,36.259998,35.011002,35.48,35.304676,670000
2022-10-27,35.509998,35.970001,35.466999,35.650002,35.473827,428400
2022-10-28,36.220001,36.220001,35.470001,35.73,35.553432,630200
2022-10-31,35.619999,36.474998,35.555,36.209999,36.031059,338000
2022-11-01,35.889999,36.259998,35.889999,36.049999,35.871853,109400
2022-11-02,36.119999,37.110001,35.349998,36.439999,36.259926,768300
2022-11-03,36.599998,36.715,36.189999,36.380001,36.200222,373800
2022-11-04,35.200001,35.57,34.380001,34.77,34.598183,821000
2022-11-07,35.41,35.630001,35.195,35.380001,35.20517,406400
2022-11-08,37.509998,42.099998,35.612,39.970001,39.772488,7214000
2022-11-09,41.639999,45.610001,40.900002,45.330002,45.105999,6606800
2022-11-10,42.240002,43.75,38.845001,39.400002,39.205307,2752800
2022-11-11,43.560001,43.939999,41.790001,43.16,42.94672,1822700
2022-11-14,42.549999,43.575001,42.189999,43.240002,43.026329,1139900
2022-11-15,41.209999,42.068001,40.720001,41.200001,40.996407,1166400
2022-11-16,42.439999,42.950001,42.139999,42.139999,41.931759,864300
2022-11-17,42.450001,42.459999,41.41,41.650002,41.44418,545500
2022-11-18,41.34,42.047001,41.34,41.709999,41.503887,440900
2022-11-21,42.73,44.369999,42.349998,43.860001,43.643265,1249800
2022-11-22,43.029999,43.368999,42.5,43.139999,42.926819,951000
2022-11-23,42.299999,42.700001,41.110001,41.23,41.026257,919400
2022-11-25,41.48,41.584999,41.09,41.200001,40.996407,162300
2022-11-28,42.169998,42.75,41.73,41.98,41.772552,1025300
2022-11-29,41.540001,41.75,41.192001,41.240002,41.036205,291000
2022-11-30,40.220001,40.459999,38.970001,39.130001,38.936638,1135800
2022-12-01,39.5,39.860001,39.150002,39.700001,39.503822,382900
2022-12-02,39.790001,39.790001,39.280998,39.389999,39.195351,215400
2022-12-05,39.009998,39.860001,38.849998,39.75,39.553566,434300
2022-12-06,39.43,39.77,39.331001,39.450001,39.255051,381900
2022-12-07,39.720001,40.07,39.622002,39.950001,39.752579,330100
2022-12-08,39.779999,39.889999,38.558998,38.849998,38.658016,297800
2022-12-09,39.07,39.220001,38.82,39.220001,39.026192,190500
2022-12-12,39.32,39.380001,38.985001,39.009998,38.817226,239300
2022-12-13,37.110001,37.93,37.09,37.57,37.384342,491500
2022-12-14,37.16,37.720001,36.0,37.450001,37.264938,735900
2022-12-15,38.049999,38.529999,38.001999,38.34,38.150539,391900
2022-12-16,39.169998,39.889999,39.075001,39.630001,39.434166,620400
2022-12-19,39.970001,40.549999,39.849998,40.349998,40.150604,363800
2022-12-20,39.779999,39.879002,39.0,39.419998,39.225197,353800
2022-12-21,39.52,39.869999,39.459999,39.77,39.573471,162800
2022-12-22,39.740002,40.369999,39.604,39.77,39.599358,236300
2022-12-23,39.689999,39.77,39.41,39.59,39.420135,168000
2022-12-27,39.59,40.27,39.580002,40.060001,39.888115,288000
2022-12-28,40.110001,40.419998,39.77,40.150002,39.97773,328100
2022-12-29,39.810001,40.240002,39.810001,40.23,40.057381,192900
2022-12-30,40.419998,40.869999,39.73,39.790001,39.61927,299400
2023-01-03,39.299999,39.810001,39.222,39.599998,39.430084,229300
2023-01-04,39.209999,39.369999,38.650002,39.220001,39.05172,299500
2023-01-05,39.189999,39.369999,38.959999,39.07,38.902363,215400
2023-01-06,39.330002,39.490002,38.490002,38.849998,38.683304,303700
2023-01-09,38.139999,38.269001,37.66,38.16,37.996265,495800
2023-01-10,37.970001,38.118,37.460999,37.5,37.3391,230600
2023-01-11,37.720001,37.93,37.290001,37.330002,37.16983,211300
2023-01-12,36.09,36.580002,34.060001,34.09,33.943726,1452700
2023-01-13,34.290001,34.369999,33.32,33.34,33.196945,790900
2023-01-17,30.26,30.719999,30.01,30.01,29.881237,1403900
2023-01-18,30.030001,31.459999,29.82,31.009001,30.87595,1759800
2023-01-19,30.959999,31.007999,30.299999,30.440001,30.309391,837200
2023-01-20,30.5,30.57,28.57,28.68,28.556942,1079400
2023-01-23,28.09,28.450001,27.620001,27.75,27.630934,974800
2023-01-24,28.01,28.141001,27.77,27.809999,27.690676,815900
2023-01-25,28.4,28.65,27.950001,27.99,27.869904,691300
2023-01-26,27.629999,28.02,27.57,27.73,27.611019,524800
