Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,11.94,12.62,11.94,12.54,11.667511,13740000
2022-10-26,12.633,12.995,12.565,12.84,11.946638,12256200
2022-10-27,12.83,12.845,12.64,12.79,11.900118,6647400
2022-10-28,12.57,12.835,12.555,12.74,11.853596,8205800
2022-10-31,12.76,12.8,12.47,12.57,11.695424,4302100
2022-11-01,12.66,12.68,12.529,12.63,11.751249,2309400
2022-11-02,12.6,12.868,12.39,12.47,11.602383,7493800
2022-11-03,12.42,12.56,12.38,12.5,11.630295,5400100
2022-11-04,12.89,13.199,12.77,13.06,12.151333,11666600
2022-11-07,12.8,12.91,12.74,12.85,11.955944,4578100
2022-11-08,12.079,12.75,10.39,11.13,10.355615,49341600
2022-11-09,10.682,10.9,9.605,9.66,8.987892,39911000
2022-11-10,10.28,11.01,9.965,10.86,10.104399,36835100
2022-11-11,9.74,10.21,9.68,9.78,9.099543,22101400
2022-11-14,9.99,10.06,9.745,9.81,9.127457,13114100
2022-11-15,10.23,10.375,10.052,10.27,9.55545,12253200
2022-11-16,9.989,10.038,9.84,10.0,9.304236,7926700
2022-11-17,9.96,10.205,9.96,10.16,9.453103,6090700
2022-11-18,10.21,10.22,10.045,10.14,9.434496,5497500
2022-11-21,9.87,10.01,9.48,9.59,8.922763,11553000
2022-11-22,9.76,9.901,9.7,9.79,9.108848,5472200
2022-11-23,9.95,10.19,9.89,10.19,9.481015,4980500
2022-11-25,10.11,10.22,10.1,10.19,9.481015,1888600
2022-11-28,9.96,10.05,9.795,9.99,9.294931,4897500
2022-11-29,10.09,10.17,10.035,10.16,9.453103,2249400
2022-11-30,10.4,10.72,10.35,10.7,9.955532,7346400
2022-12-01,10.6,10.7,10.49,10.54,9.806665,7773000
2022-12-02,10.51,10.66,10.51,10.64,9.899708,2642800
2022-12-05,10.73,10.78,10.49,10.53,9.79736,3783600
2022-12-06,10.61,10.635,10.51,10.61,9.871794,3309500
2022-12-07,10.54,10.56,10.43,10.47,9.741536,2701000
2022-12-08,10.5,10.835,10.484,10.78,10.029966,6081800
2022-12-09,10.71,10.77,10.66,10.66,9.918316,2943000
2022-12-12,10.65,10.73,10.62,10.72,9.974141,2679100
2022-12-13,11.23,11.243,11.01,11.1,10.327702,7605500
2022-12-14,11.24,11.55,11.06,11.14,10.36492,11670800
2022-12-15,10.99,10.99,10.82,10.88,10.123009,3877500
2022-12-16,10.65,10.68,10.445,10.5,9.769448,6556400
2022-12-19,10.43,10.46,10.27,10.32,9.601972,2842700
2022-12-20,10.461,10.67,10.44,10.55,9.815969,3910300
2022-12-21,10.5,10.55,10.43,10.48,9.750838,1591700
2022-12-22,10.45,10.51,10.29,10.46,9.732231,3745400
2022-12-23,10.47,10.55,10.443,10.5,9.769448,2066900
2022-12-27,10.49,10.51,10.325,10.37,9.648492,3184900
2022-12-28,10.35,10.45,10.27,10.35,9.629885,2738500
2022-12-29,10.35,10.4,10.33,10.35,9.629885,2019100
2022-12-30,10.28,10.45,10.155,10.43,9.704317,3834600
2023-01-03,10.57,10.585,10.43,10.49,9.760144,2501100
2023-01-04,10.59,10.74,10.55,10.59,9.853186,4408000
2023-01-05,10.61,10.655,10.55,10.64,9.899708,1575900
2023-01-06,10.55,10.79,10.52,10.67,9.927619,2777900
2023-01-09,10.89,11.02,10.85,10.88,10.123009,5751700
2023-01-10,10.94,11.08,10.89,11.08,10.309094,3269500
2023-01-11,11.0,11.14,10.94,11.13,10.355615,3621100
2023-01-12,11.52,12.12,11.34,12.1,11.258126,13516600
2023-01-13,12.02,12.38,11.995,12.38,11.518644,11364700
2023-01-17,13.52,13.62,13.34,13.62,12.67237,12929900
2023-01-18,13.62,13.71,12.944,13.16,12.244374,25287100
2023-01-19,13.199,13.465,13.16,13.41,12.47698,6439700
2023-01-20,13.39,14.25,13.355,14.19,13.20271,18107600
2023-01-23,14.5,14.74,14.3,14.67,13.649313,11053400
2023-01-24,14.535,14.665,14.46,14.62,13.602793,6406000
2023-01-25,14.33,14.57,14.18,14.55,13.537663,7939800
2023-01-26,14.72,14.76,14.5,14.7,13.677226,6300900
2023-01-27,14.539,14.94,14.495,14.65,13.630706,13773400
2023-01-30,14.688,14.775,14.28,14.37,13.370187,9829300
2023-01-31,14.62,14.72,14.59,14.63,13.612098,5195500
2023-02-01,14.46,14.855,14.25,14.79,13.902556,12718400
2023-02-02,15.0,15.167,14.76,14.97,14.071755,12849700
2023-02-03,14.59,14.87,14.52,14.63,13.752157,10411900
2023-02-06,14.26,14.496,14.22,14.4,13.535957,7458700
2023-02-07,14.37,14.62,14.215,14.51,13.639357,8196600
2023-02-08,14.41,14.46,14.135,14.26,13.404358,6359800
2023-02-09,14.22,14.27,13.61,13.71,12.88736,14259400
2023-02-10,13.605,13.68,13.42,13.55,12.736959,8246900
2023-02-13,13.43,13.53,13.3,13.53,12.71816,8258100
2023-02-14,13.46,13.925,13.435,13.9,13.065959,10406700
2023-02-15,14.145,15.2,14.1,15.09,14.184556,16793400
2023-02-16,15.24,15.79,15.17,15.36,14.438354,22172700
2023-02-17,14.93,15.65,14.815,15.53,14.598153,15277400
2023-02-21,15.38,15.475,15.146,15.27,14.353755,9128200
2023-02-22,14.95,15.03,14.715,14.84,13.949555,9556300
2023-02-23,14.98,15.035,14.79,14.95,14.052956,7942700
2023-02-24,14.79,14.88,14.19,14.42,13.554757,14551700
2023-02-27,14.786,14.86,14.341,14.48,13.611156,7700000
2023-02-28,14.55,14.69,14.4,14.45,13.582956,6209700
2023-03-01,14.62,14.76,14.37,14.43,13.659633,4919300
2023-03-02,14.36,14.54,14.3,14.48,13.706963,5004500
2023-03-03,13.78,13.83,13.67,13.69,12.959138,9356000
2023-03-06,13.78,13.91,13.72,13.74,13.00647,5277600
2023-03-07,13.74,13.83,13.46,13.55,12.826612,8581300
2023-03-08,13.52,13.67,13.44,13.57,12.845545,5277000
2023-03-09,13.37,13.39,12.26,12.35,11.690677,17443700
2023-03-10,12.27,12.46,12.06,12.25,11.596015,14404000
2023-03-13,13.8,15.085,13.65,14.98,14.180269,29730600
2023-03-14,15.99,16.1,14.96,15.47,14.644111,24717100
2023-03-15,15.46,15.5,14.73,15.05,14.246533,16077600
2023-03-16,15.21,15.535,15.165,15.41,14.587314,10952700
2023-03-17,16.440001,16.65,16.129999,16.65,15.761114,27311800
2023-03-20,17.379999,17.41,16.975,17.17,16.253353,16942900
2023-03-21,17.34,17.611,17.145,17.41,16.480541,11427000
2023-03-22,17.530001,17.855,16.41,16.42,15.543393,19835100
2023-03-23,16.889999,17.77,16.83,17.58,16.641464,19269700
2023-03-24,17.209999,17.440001,16.969999,17.16,16.243887,9519300
2023-03-27,17.110001,17.15,16.299999,16.6,15.713784,16324800
2023-03-28,16.52,16.940001,16.440001,16.879999,15.978835,9822300
2023-03-29,17.440001,17.594999,17.299999,17.49,16.556269,8101700
2023-03-30,17.6,17.610001,17.02,17.23,16.31015,8749200
2023-03-31,17.41,17.67,17.389999,17.52,16.584669,9507400
2023-04-03,16.860001,16.969999,16.65,16.76,16.297804,8597100
2023-04-04,16.870001,16.908001,16.66,16.83,16.365873,6941600
2023-04-05,17.014999,17.02,16.57,16.84,16.375597,9347800
2023-04-06,16.66,16.82,16.504999,16.690001,16.229734,7378400
2023-04-10,16.860001,17.620001,16.780001,17.469999,16.988224,15452000
2023-04-11,18.02,18.275,17.92,18.01,17.513332,15613800
2023-04-12,18.030001,18.087,17.690001,17.790001,17.2994,10759800
2023-04-13,18.120001,18.360001,18.045,18.16,17.659195,9204400
2023-04-14,18.299999,18.385,17.860001,18.110001,17.610575,8301200
2023-04-17,17.49,17.629999,17.395,17.549999,17.066017,5009200
2023-04-18,18.059999,18.139999,17.84,18.02,17.523056,5694400
2023-04-19,17.41,17.577999,17.33,17.4,16.920155,5786900
2023-04-20,17.1,17.195999,16.635,16.690001,16.229734,10648500
2023-04-21,16.75,16.84,16.16,16.219999,15.772695,8580200
2023-04-24,16.280001,16.48,16.030001,16.280001,15.831041,4776300
2023-04-25,16.280001,16.530001,16.16,16.42,15.96718,9398400
2023-04-26,17.73,17.799999,16.49,16.6,16.142216,23874100
2023-04-27,17.200001,17.790001,17.15,17.700001,17.211882,13519100
2023-04-28,17.42,17.48,17.16,17.41,16.929878,8464400
2023-05-01,16.530001,16.559999,16.065001,16.08,15.636557,9736100
2023-05-02,16.209999,16.74,16.120001,16.639999,16.181112,16581600
2023-05-03,16.33,16.643,16.24,16.379999,15.928283,12383500
2023-05-04,16.709999,16.785,16.57,16.74,16.278355,13293800
2023-05-05,16.799999,17.245001,16.780001,17.190001,16.715946,9592500
2023-05-08,16.15,16.24,15.76,15.81,15.374002,12125900
2023-05-09,16.030001,16.049999,15.8,16.01,15.568487,4407400
2023-05-10,16.24,16.4,15.43,16.01,15.568487,18099700
2023-05-11,15.81,15.9,15.43,15.51,15.082275,8989900
2023-05-12,15.27,15.375,14.916,15.29,14.868342,10304200
