Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,12.47,14.328,12.465,14.22,14.22,3860100
2022-10-26,14.0,15.54,13.918,14.8,14.8,2916500
2022-10-27,15.01,15.6,14.45,14.49,14.49,1874400
2022-10-28,14.63,15.7,14.26,15.52,15.52,2697300
2022-10-31,15.6,15.96,15.33,15.7,15.7,2230000
2022-11-01,16.01,16.51,15.29,15.32,15.32,2487200
2022-11-02,15.28,16.030001,14.74,14.75,14.75,1914400
2022-11-03,14.31,15.16,14.24,14.36,14.36,1680400
2022-11-04,14.72,14.819,13.43,13.91,13.91,1384400
2022-11-07,14.07,14.2,12.928,13.3,13.3,1957900
2022-11-08,13.3,13.658,12.64,13.02,13.02,2145600
2022-11-09,12.87,12.87,11.56,11.82,11.82,4004100
2022-11-10,12.79,14.64,12.71,14.2,14.2,6525300
2022-11-11,14.04,15.48,13.63,15.22,15.22,3656600
2022-11-14,15.13,16.35,14.92,15.54,15.54,3281300
2022-11-15,16.42,17.23,15.7,15.78,15.78,3478000
2022-11-16,15.45,15.53,14.31,14.49,14.49,2093400
2022-11-17,14.2,14.98,13.6,13.94,13.94,2509400
2022-11-18,14.2,14.33,13.24,13.45,13.45,1770400
2022-11-21,13.14,13.74,13.06,13.28,13.28,2247900
2022-11-22,13.1,13.25,12.09,12.72,12.72,3459600
2022-11-23,12.4,13.07,12.241,12.83,12.83,2470300
2022-11-25,12.78,12.86,12.53,12.72,12.72,628300
2022-11-28,12.5,13.07,12.25,12.41,12.41,1571300
2022-11-29,12.45,13.01,12.447,12.92,12.92,2479100
2022-11-30,12.83,14.59,12.52,14.59,14.59,3563500
2022-12-01,14.7,15.1,14.03,14.32,14.32,2897700
2022-12-02,13.98,14.35,13.555,14.3,14.3,1482900
2022-12-05,14.13,14.4,13.5,13.69,13.69,1355800
2022-12-06,13.52,14.501,13.11,13.88,13.88,2679900
2022-12-07,13.85,15.69,13.5,15.6,15.6,3784300
2022-12-08,15.5,17.0,15.3,16.15,16.15,4394100
2022-12-09,15.84,16.07,14.68,14.87,14.87,2245000
2022-12-12,14.71,15.682,14.22,14.68,14.68,1675700
2022-12-13,15.75,15.94,14.035,14.52,14.52,2127300
2022-12-14,14.45,15.18,14.31,14.62,14.62,1988200
2022-12-15,14.25,14.38,13.39,13.78,13.78,2161300
2022-12-16,13.5,14.258,13.38,14.13,14.13,2122200
2022-12-19,14.0,14.1,13.2,13.32,13.32,1396900
2022-12-20,13.11,13.27,12.55,13.18,13.18,1261700
2022-12-21,13.2,13.75,13.085,13.26,13.26,1420600
2022-12-22,13.02,13.25,12.6,12.92,12.92,1405500
2022-12-23,12.88,13.44,12.57,12.79,12.79,1437600
2022-12-27,12.6,12.84,11.82,11.83,11.83,1360100
2022-12-28,11.93,11.93,11.03,11.34,11.34,1811100
2022-12-29,11.44,13.18,11.435,12.4,12.4,3105100
2022-12-30,12.07,12.43,11.78,12.31,12.31,1771900
2023-01-03,12.6,12.81,12.12,12.38,12.38,1475000
2023-01-04,12.5,13.162,12.39,12.87,12.87,1839300
2023-01-05,12.88,13.25,12.47,13.0,13.0,2017000
2023-01-06,13.02,14.03,12.84,13.79,13.79,2170800
2023-01-09,14.3,14.53,13.8,14.04,14.04,1916400
2023-01-10,14.145,15.325,14.11,14.61,14.61,2174900
2023-01-11,14.75,16.08,14.57,15.92,15.92,3307600
2023-01-12,16.15,16.66,15.09,16.52,16.52,2781700
2023-01-13,16.360001,17.280001,15.8,15.93,15.93,3523100
2023-01-17,15.65,15.88,15.245,15.71,15.71,1553200
2023-01-18,15.9,15.99,14.55,14.58,14.58,2166500
2023-01-19,14.36,14.49,13.97,14.26,14.26,1592200
2023-01-20,14.42,15.48,14.07,15.12,15.12,2047400
2023-01-23,15.18,17.1,15.03,16.83,16.83,3467600
2023-01-24,16.684999,17.02,15.864,15.98,15.98,2114700
2023-01-25,15.77,16.27,15.36,16.129999,16.129999,1422200
2023-01-26,16.280001,16.799999,15.9,16.190001,16.190001,1409800
2023-01-27,16.219999,20.4,16.205,18.51,18.51,7002100
2023-01-30,18.01,18.290001,16.42,16.450001,16.450001,4362500
2023-01-31,16.58,16.76,15.85,16.43,16.43,2544900
2023-02-01,16.4,16.99,15.6,16.969999,16.969999,2868100
2023-02-02,18.0,21.35,17.903999,20.219999,20.219999,9211000
2023-02-03,19.450001,20.879999,19.23,19.42,19.42,2902400
2023-02-06,19.16,19.27,17.299999,17.99,17.99,3830400
2023-02-07,17.879999,17.98,16.6,17.190001,17.190001,3068400
2023-02-08,17.120001,18.280001,16.695,17.68,17.68,3697800
2023-02-09,18.190001,18.190001,16.08,16.25,16.25,2774500
2023-02-10,16.07,16.275,15.28,15.99,15.99,2478900
2023-02-13,16.0,16.41,15.51,16.16,16.16,1717400
2023-02-14,15.99,16.139999,15.35,15.52,15.52,1654000
2023-02-15,15.5,17.450001,15.45,17.43,17.43,2897700
2023-02-16,17.059999,17.99,17.01,17.1,17.1,3191000
2023-02-17,17.129999,17.870001,16.360001,17.74,17.74,2452600
2023-02-21,17.264999,17.559999,16.370001,16.4,16.4,1902700
2023-02-22,16.49,17.129999,16.139999,17.1,17.1,1388100
2023-02-23,17.1,17.705,16.629999,17.139999,17.139999,3940600
2023-02-24,19.549999,22.870001,18.42,18.879999,18.879999,25691700
2023-02-27,18.75,19.719999,17.879999,18.77,18.77,4778400
