Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,190.289993,195.669998,188.919998,194.839996,191.917877,2545000
2022-10-26,198.300003,199.580002,194.570007,196.960007,194.006088,3546000
2022-10-27,210.149994,217.130005,207.369995,212.139999,208.95842,7872200
2022-10-28,212.5,219.5,211.210007,219.339996,216.050415,5161000
2022-10-31,215.339996,218.869995,215.009995,216.460007,213.213623,3786100
2022-11-01,218.630005,219.470001,216.710007,218.5,215.223038,2717500
2022-11-02,217.600006,221.699997,213.929993,214.539993,211.322403,3150000
2022-11-03,211.539993,221.789993,211.360001,219.259995,215.971634,3570400
2022-11-04,224.020004,229.729996,223.600006,227.850006,224.4328,4973800
2022-11-07,228.0,229.130005,222.669998,228.610001,225.181412,3405600
2022-11-08,228.610001,232.630005,226.669998,229.809998,226.363403,3676600
2022-11-09,226.070007,229.139999,225.059998,225.539993,222.15744,6248300
2022-11-10,232.220001,232.589996,226.330002,232.449997,228.963806,4590800
2022-11-11,233.0,238.399994,232.0,236.490005,232.943237,3585400
2022-11-14,236.0,239.850006,234.5,236.5,232.953079,3217700
2022-11-15,237.100006,239.399994,232.75,234.589996,231.071701,3371000
2022-11-16,234.0,234.660004,230.839996,232.419998,228.934265,3062000
2022-11-17,227.75,230.529999,225.509995,230.440002,226.983963,3256900
2022-11-18,230.850006,231.839996,227.630005,231.429993,227.959106,2868700
2022-11-21,231.550003,233.669998,228.270004,232.169998,228.688004,2522600
2022-11-22,234.0,237.479996,233.360001,237.259995,233.70166,2523300
2022-11-23,237.630005,239.630005,235.610001,236.919998,233.366776,2311300
2022-11-25,237.0,237.490005,235.190002,235.699997,232.16507,1034800
2022-11-28,233.940002,234.960007,231.570007,232.300003,228.816055,2862100
2022-11-29,233.300003,235.729996,231.550003,235.119995,231.593765,2277900
2022-11-30,235.899994,236.759995,230.789993,236.410004,232.864426,3850000
2022-12-01,236.899994,237.0,231.940002,235.690002,232.155228,2504700
2022-12-02,233.889999,238.470001,233.589996,236.130005,232.588623,2218300
2022-12-05,234.800003,235.910004,232.259995,232.570007,229.082016,2064500
2022-12-06,232.589996,233.050003,225.559998,228.289993,224.866196,3633800
2022-12-07,227.0,229.839996,225.779999,228.979996,225.545853,3044000
2022-12-08,230.910004,232.5,229.539993,230.919998,227.456757,2189400
2022-12-09,232.0,232.809998,227.190002,227.289993,223.881195,2257000
2022-12-12,227.550003,233.399994,227.020004,233.059998,229.564651,2709200
2022-12-13,237.820007,237.919998,232.130005,235.490005,231.958221,2945200
2022-12-14,236.059998,238.220001,233.119995,234.479996,230.963364,3513800
2022-12-15,232.160004,232.929993,227.720001,230.660004,227.200668,2953200
2022-12-16,228.630005,233.220001,228.050003,232.720001,229.229767,7610700
2022-12-19,233.899994,236.929993,230.929993,232.289993,228.806213,2622400
2022-12-20,232.440002,235.720001,231.860001,235.139999,231.61348,2649900
2022-12-21,237.660004,241.910004,237.660004,241.729996,238.104614,4143600
2022-12-22,240.149994,240.800003,233.039993,237.539993,233.977478,3129900
2022-12-23,236.949997,240.539993,236.5,239.869995,236.272522,1959900
2022-12-27,240.690002,245.050003,239.720001,243.139999,239.493484,3381500
2022-12-28,243.139999,243.820007,238.279999,239.380005,235.789886,2270000
2022-12-29,241.210007,241.610001,238.270004,240.199997,236.59758,1652500
2022-12-30,239.389999,240.160004,237.699997,239.559998,235.967163,1521100
2023-01-03,240.679993,240.679993,236.199997,238.880005,235.297394,2651900
2023-01-04,240.0,242.130005,238.550003,241.360001,237.740189,2387900
2023-01-05,240.529999,241.539993,237.559998,240.279999,236.676392,2355900
2023-01-06,242.889999,249.910004,242.240005,248.860001,245.127701,3945100
2023-01-09,249.009995,250.970001,246.0,246.619995,242.921295,3417100
2023-01-10,246.949997,250.839996,246.449997,250.509995,246.752945,3011900
2023-01-11,251.490005,251.889999,247.130005,250.729996,246.969666,2402400
2023-01-12,252.0,257.380005,251.009995,255.070007,251.244583,3881500
2023-01-13,256.799988,258.579987,255.229996,258.459991,254.58371,3067800
2023-01-17,258.859985,260.5,255.940002,256.26001,252.416733,4100100
2023-01-18,257.279999,258.910004,252.070007,252.820007,249.02832,3361400
2023-01-19,250.479996,251.25,244.300003,245.75,243.218765,4885200
2023-01-20,246.869995,249.919998,244.759995,249.710007,247.137985,2964100
2023-01-23,250.75,253.679993,249.270004,252.699997,250.097183,2610200
2023-01-24,252.880005,259.049988,249.75,257.609985,254.956619,3505100
2023-01-25,254.529999,259.190002,254.320007,258.440002,255.778076,2424900
2023-01-26,260.0,262.26001,256.890015,262.119995,259.420135,2677200
2023-01-27,262.459991,266.040009,262.119995,264.540009,261.815247,2783000
2023-01-30,263.339996,265.0,261.309998,261.5,258.806519,3426900
2023-01-31,257.0,257.390015,246.410004,252.289993,249.691406,10992100
2023-02-01,251.75,252.699997,245.309998,249.539993,246.969727,6022000
2023-02-02,249.330002,249.529999,241.800003,244.899994,242.377518,6130300
2023-02-03,244.0,250.949997,243.130005,247.759995,245.208054,4134700
2023-02-06,248.110001,252.139999,248.0,251.419998,248.830368,3528800
2023-02-07,250.550003,252.0,245.350006,249.660004,247.088486,3467900
2023-02-08,248.100006,251.559998,247.080002,248.869995,246.306641,2300300
2023-02-09,250.0,251.970001,245.479996,246.279999,243.743301,2464900
2023-02-10,246.279999,248.630005,244.639999,247.669998,245.118988,2820300
2023-02-13,243.5,248.380005,242.649994,248.149994,245.59404,3068100
2023-02-14,247.009995,247.309998,241.649994,244.360001,241.843079,2512900
2023-02-15,244.199997,248.770004,243.229996,248.699997,246.138382,2398200
2023-02-16,246.5,248.529999,244.520004,246.520004,243.98085,1934900
2023-02-17,247.860001,250.860001,245.630005,247.789993,245.237747,3759300
2023-02-21,244.5,248.0,239.75,240.710007,238.230698,3105900
2023-02-22,241.190002,242.229996,236.419998,237.889999,235.439728,3145200
2023-02-23,240.669998,240.830002,235.600006,237.949997,235.4991,3219000
2023-02-24,235.229996,236.690002,233.020004,236.169998,233.737442,2105500
2023-02-27,239.100006,241.25,238.720001,239.979996,237.508209,1720900
2023-02-28,240.940002,241.100006,238.710007,239.550003,237.082642,2647700
2023-03-01,242.009995,249.699997,241.570007,248.669998,246.108688,4117700
2023-03-02,246.509995,252.490005,246.130005,252.179993,249.582535,2676500
2023-03-03,252.389999,255.399994,249.910004,255.309998,252.680298,2314700
2023-03-06,255.649994,255.699997,251.580002,253.979996,251.363998,2317100
2023-03-07,254.050003,254.75,245.949997,246.139999,243.604752,3018400
2023-03-08,247.990005,251.110001,246.75,248.720001,246.158173,2068600
2023-03-09,248.949997,250.130005,240.610001,240.960007,238.478119,2518800
2023-03-10,236.309998,238.130005,225.800003,227.009995,224.671783,5767500
2023-03-13,222.580002,228.330002,221.539993,224.699997,222.385574,4885100
2023-03-14,228.990005,229.589996,222.199997,225.669998,223.345596,3754900
2023-03-15,219.399994,221.179993,212.570007,217.259995,215.022217,5471700
2023-03-16,215.669998,219.809998,213.320007,218.710007,216.457291,3555000
2023-03-17,217.399994,217.399994,211.429993,215.009995,212.795395,7203000
2023-03-20,217.350006,221.869995,216.479996,220.309998,218.040802,3464200
2023-03-21,224.059998,226.0,223.610001,224.919998,222.603317,3074600
2023-03-22,225.169998,226.589996,219.860001,219.949997,217.684509,2930200
2023-03-23,220.509995,225.300003,217.600006,219.440002,217.179764,2957400
2023-03-24,216.850006,217.429993,213.139999,217.009995,214.774796,2976800
2023-03-27,214.929993,218.960007,213.919998,218.0,215.754593,3209500
2023-03-28,218.149994,220.559998,217.710007,220.160004,217.892349,1802000
2023-03-29,222.740005,223.220001,221.5,223.0,220.703094,1857300
