Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,8.27,8.68,8.21,8.62,8.62,52082000
2022-10-26,8.59,9.13,8.57,8.67,8.67,58695700
2022-10-27,8.8,8.96,8.64,8.65,8.65,48689900
2022-10-28,8.56,8.95,8.48,8.94,8.94,42739400
2022-10-31,9.02,9.15,8.8,9.06,9.06,49289000
2022-11-01,9.39,9.49,9.04,9.05,9.05,52041000
2022-11-02,9.01,9.26,8.65,8.69,8.69,52525000
2022-11-03,8.34,9.07,8.25,8.83,8.83,63837000
2022-11-04,9.12,9.32,8.84,9.0,9.0,51717100
2022-11-07,9.07,9.08,8.57,8.76,8.76,46375900
2022-11-08,8.91,9.23,8.83,9.1,9.1,53290100
2022-11-09,9.0,9.02,8.52,8.56,8.56,41664900
2022-11-10,9.12,9.81,9.08,9.78,9.78,84559500
2022-11-11,10.17,10.45,9.76,10.35,10.35,69889400
2022-11-14,10.41,10.75,10.22,10.6,10.6,70950200
2022-11-15,10.99,11.49,10.96,11.16,11.16,106425900
2022-11-16,9.78,9.82,9.49,9.63,9.63,124544100
2022-11-17,9.37,9.57,9.15,9.51,9.51,45732600
2022-11-18,9.7,9.73,9.39,9.47,9.47,38882000
2022-11-21,9.46,9.53,9.13,9.32,9.32,38776300
2022-11-22,9.36,9.56,9.18,9.47,9.47,36685900
2022-11-23,9.49,9.78,9.39,9.73,9.73,44422600
2022-11-25,9.7,9.93,9.64,9.73,9.73,23780800
2022-11-28,9.58,9.73,9.27,9.32,9.32,32078200
2022-11-29,9.36,9.79,9.32,9.75,9.75,46085800
2022-11-30,9.81,9.94,9.41,9.93,9.93,65648500
2022-12-01,9.96,10.29,9.9,9.97,9.97,52863100
2022-12-02,9.73,10.04,9.45,10.0,10.0,48326900
2022-12-05,9.89,10.27,9.63,9.68,9.68,52424100
2022-12-06,9.7,9.76,9.17,9.3,9.3,50508400
2022-12-07,9.22,9.35,8.86,8.89,8.89,52196200
2022-12-08,9.0,9.24,8.94,9.03,9.03,37881700
2022-12-09,9.02,9.13,8.85,8.87,8.87,37684100
2022-12-12,8.77,9.01,8.57,9.01,9.01,44353700
2022-12-13,9.6,9.67,8.72,8.91,8.91,62156900
2022-12-14,8.88,9.11,8.71,8.93,8.93,57877700
2022-12-15,8.72,8.95,8.47,8.63,8.63,52117200
2022-12-16,8.49,8.7,8.35,8.45,8.45,43358200
2022-12-19,8.48,8.49,8.02,8.09,8.09,41998400
2022-12-20,7.95,8.27,7.93,8.1,8.1,49501000
2022-12-21,7.88,8.79,7.78,8.48,8.48,77709700
2022-12-22,8.47,8.5,7.63,7.88,7.88,64849100
2022-12-23,7.86,7.94,7.53,7.81,7.81,39623700
2022-12-27,7.78,7.9,7.55,7.67,7.67,37674800
2022-12-28,7.71,7.91,7.63,7.67,7.67,34112400
2022-12-29,7.73,8.1,7.7,8.08,8.08,38092700
2022-12-30,7.98,8.22,7.93,8.06,8.06,30690600
2023-01-03,8.24,8.32,7.92,7.97,7.97,33965200
2023-01-04,8.07,8.76,7.98,8.74,8.74,52046600
2023-01-05,8.57,8.99,8.47,8.95,8.95,35689900
2023-01-06,9.0,9.23,8.83,9.2,9.2,40099600
2023-01-09,9.26,9.64,9.21,9.47,9.47,44454500
2023-01-10,9.42,9.71,9.26,9.68,9.68,38995500
2023-01-11,9.75,9.9,9.66,9.86,9.86,33668900
2023-01-12,10.06,10.29,9.86,10.28,10.28,48425800
2023-01-13,10.15,10.61,10.14,10.51,10.51,41626900
2023-01-17,10.61,10.94,10.43,10.88,10.88,48197800
2023-01-18,11.09,11.17,10.34,10.43,10.43,57513800
2023-01-19,10.13,10.24,9.92,10.12,10.12,44119300
2023-01-20,10.28,10.62,10.16,10.47,10.47,39941600
2023-01-23,10.64,10.83,10.53,10.72,10.72,34611400
2023-01-24,10.72,10.96,10.4,10.68,10.68,33317400
2023-01-25,10.49,10.9,10.38,10.88,10.88,29042400
2023-01-26,11.0,11.09,10.57,10.63,10.63,32096200
2023-01-27,10.78,11.25,10.76,11.02,11.02,50631600
2023-01-30,10.83,11.22,10.61,10.64,10.64,35766600
2023-01-31,10.78,10.83,10.58,10.82,10.82,30246300
2023-02-01,10.82,11.42,10.62,11.34,11.34,47240000
2023-02-02,11.72,12.26,11.47,12.04,12.04,61194400
