Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,3.263,3.39,3.22,3.37,3.37,157500
2022-10-26,3.38,3.51,3.12,3.5,3.5,177700
2022-10-27,3.47,3.555,3.28,3.4,3.4,144000
2022-10-28,3.28,3.53,3.28,3.51,3.51,90600
2022-10-31,3.38,3.51,3.25,3.46,3.46,68000
2022-11-01,3.5,3.5,3.34,3.49,3.49,166400
2022-11-02,3.32,3.42,3.2,3.24,3.24,139400
2022-11-03,3.13,3.39,3.03,3.24,3.24,54400
2022-11-04,3.31,3.32,3.11,3.29,3.29,69700
2022-11-07,3.28,3.3,3.1,3.28,3.28,57700
2022-11-08,3.31,3.32,3.1,3.22,3.22,62700
2022-11-09,3.18,3.25,3.043,3.08,3.08,65200
2022-11-10,3.24,3.289,3.0,3.1,3.1,172000
2022-11-11,3.11,3.14,2.88,2.96,2.96,51800
2022-11-14,2.92,3.06,2.87,3.04,3.04,33200
2022-11-15,3.09,3.27,2.9,3.17,3.17,81300
2022-11-16,3.17,3.24,3.03,3.04,3.04,55600
2022-11-17,3.02,3.19,3.0,3.19,3.19,78400
2022-11-18,3.27,3.27,2.67,2.96,2.96,83700
2022-11-21,3.05,3.09,2.93,3.05,3.05,75300
2022-11-22,3.06,3.07,2.85,3.0,3.0,54000
2022-11-23,2.95,3.1,2.9,3.03,3.03,59800
2022-11-25,3.03,3.03,2.89,2.94,2.94,23900
2022-11-28,2.95,3.07,2.95,3.03,3.03,65900
2022-11-29,3.04,3.26,2.94,2.96,2.96,62200
2022-11-30,2.95,3.22,2.87,3.07,3.07,124500
2022-12-01,3.06,3.125,2.95,3.08,3.08,32100
2022-12-02,3.03,3.2,3.03,3.09,3.09,57900
2022-12-05,3.16,3.16,2.8,2.85,2.85,50800
2022-12-06,2.84,2.905,2.68,2.72,2.72,51200
2022-12-07,2.74,2.93,2.72,2.82,2.82,38900
2022-12-08,2.85,2.92,2.72,2.81,2.81,56300
2022-12-09,2.83,3.0,2.83,2.89,2.89,77100
2022-12-12,2.93,3.01,2.76,2.78,2.78,46400
2022-12-13,2.96,3.15,2.875,2.95,2.95,66400
2022-12-14,2.91,2.99,2.79,2.81,2.81,80100
2022-12-15,2.72,2.91,2.72,2.91,2.91,72100
2022-12-16,2.91,2.99,2.81,2.9,2.9,190700
2022-12-19,2.92,2.92,2.75,2.77,2.77,40100
2022-12-20,2.76,2.79,2.6,2.75,2.75,37200
2022-12-21,2.79,2.93,2.691,2.86,2.86,47300
2022-12-22,2.862,2.865,2.74,2.74,2.74,51400
2022-12-23,2.835,2.93,2.69,2.73,2.73,35000
2022-12-27,2.76,2.91,2.71,2.73,2.73,34300
2022-12-28,2.76,2.8,2.63,2.66,2.66,24900
2022-12-29,2.619,2.7,2.6,2.64,2.64,56800
2022-12-30,2.68,2.7,2.54,2.55,2.55,48600
2023-01-03,2.49,2.55,2.31,2.34,2.34,37800
2023-01-04,2.47,2.52,2.2,2.3,2.3,59300
2023-01-05,2.29,2.5,2.15,2.18,2.18,64400
2023-01-06,2.16,2.2,2.06,2.14,2.14,74700
2023-01-09,2.2,2.2,2.05,2.07,2.07,66700
2023-01-10,2.2,2.2,1.88,1.96,1.96,162900
2023-01-11,1.94,2.08,1.91,1.92,1.92,90100
2023-01-12,1.98,2.1,1.94,2.02,2.02,101100
2023-01-13,2.09,2.17,1.98,2.02,2.02,212700
2023-01-17,2.01,2.1,1.88,2.02,2.02,105900
2023-01-18,2.05,2.05,1.91,2.0,2.0,63000
2023-01-19,1.93,2.03,1.92,2.0,2.0,46300
2023-01-20,2.09,2.09,1.92,1.97,1.97,102700
2023-01-23,1.98,1.99,1.92,1.94,1.94,109500
2023-01-24,1.94,1.94,1.82,1.84,1.84,235600
2023-01-25,1.82,1.9,1.75,1.79,1.79,139500
2023-01-26,1.77,1.8,1.59,1.6,1.6,327600
2023-01-27,1.65,1.65,1.3,1.59,1.59,351600
2023-01-30,1.59,1.6,1.36,1.39,1.39,339400
2023-01-31,1.46,1.49,1.42,1.43,1.43,315300
2023-02-01,1.46,1.46,1.315,1.34,1.34,275500
2023-02-02,1.34,1.43,1.31,1.38,1.38,260600
2023-02-03,1.4,1.45,1.35,1.42,1.42,263400
2023-02-06,1.45,1.55,1.33,1.37,1.37,430300
2023-02-07,1.38,1.43,1.34,1.37,1.37,143400
2023-02-08,1.37,1.38,1.3,1.33,1.33,192100
2023-02-09,1.33,1.34,1.17,1.175,1.175,439300
2023-02-10,1.2,1.2,1.09,1.11,1.11,194700
2023-02-13,1.15,1.15,1.03,1.1,1.1,280700
2023-02-14,0.92,0.943,0.76,0.766,0.766,1413000
2023-02-15,0.84,1.0,0.81,0.9,0.9,1800600
2023-02-16,1.0,1.09,0.925,0.98,0.98,6009300
2023-02-17,0.971,0.971,0.78,0.844,0.844,1171100
2023-02-21,0.85,0.899,0.8,0.86,0.86,529200
2023-02-22,0.86,0.88,0.771,0.778,0.778,538700
2023-02-23,0.781,0.8,0.7,0.7,0.7,694600
2023-02-24,0.698,0.71,0.628,0.644,0.644,567700
2023-02-27,0.65,0.67,0.56,0.56,0.56,840200
2023-02-28,0.56,0.575,0.5,0.57,0.57,656000
2023-03-01,0.576,0.647,0.57,0.647,0.647,751100
2023-03-02,0.63,0.64,0.581,0.624,0.624,383400
2023-03-03,0.61,0.65,0.607,0.65,0.65,274500
2023-03-06,0.695,0.697,0.66,0.68,0.68,425500
2023-03-07,0.68,0.7,0.62,0.625,0.625,264900
2023-03-08,0.617,0.639,0.587,0.598,0.598,391100
2023-03-09,0.61,0.62,0.54,0.546,0.546,302500
2023-03-10,0.551,0.551,0.45,0.45,0.45,508400
2023-03-13,0.46,0.46,0.36,0.37,0.37,834200
2023-03-14,0.388,0.39,0.36,0.362,0.362,327800
2023-03-15,0.362,0.37,0.323,0.323,0.323,468800
2023-03-16,0.321,0.36,0.304,0.304,0.304,677300
2023-03-17,0.317,0.459,0.305,0.31,0.31,7795000
2023-03-20,0.33,0.337,0.225,0.23,0.23,16232700
2023-03-21,0.55,0.57,0.372,0.386,0.386,102786600
2023-03-22,0.337,0.37,0.291,0.32,0.32,12187400
2023-03-23,0.32,0.36,0.301,0.343,0.343,7573600
2023-03-24,0.33,0.35,0.303,0.308,0.308,4638600
2023-03-27,0.321,0.326,0.295,0.297,0.297,2456000
2023-03-28,0.3,0.3,0.272,0.286,0.286,2282600
2023-03-29,0.278,0.32,0.258,0.29,0.29,2895300
2023-03-30,0.298,0.375,0.29,0.33,0.33,6698700
2023-03-31,0.33,0.365,0.32,0.338,0.338,2005000
2023-04-03,0.319,0.33,0.303,0.325,0.325,1337800
2023-04-04,0.31,0.312,0.28,0.286,0.286,1305200
2023-04-05,0.285,0.298,0.266,0.278,0.278,961800
2023-04-06,0.28,0.285,0.26,0.265,0.265,792000
2023-04-10,0.26,0.269,0.252,0.26,0.26,1214300
2023-04-11,0.262,0.263,0.254,0.26,0.26,949900
2023-04-12,0.255,0.26,0.232,0.235,0.235,1369200
2023-04-13,0.246,0.33,0.233,0.264,0.264,6441400
2023-04-14,0.268,0.27,0.235,0.238,0.238,1834800
2023-04-17,0.237,0.27,0.235,0.261,0.261,1224800
2023-04-18,0.25,0.269,0.24,0.243,0.243,1197800
2023-04-19,0.24,0.24,0.226,0.232,0.232,1444600
2023-04-20,0.234,0.234,0.21,0.213,0.213,1641100
2023-04-21,0.208,0.218,0.205,0.213,0.213,853800
2023-04-24,0.2,0.21,0.195,0.205,0.205,1000200
2023-04-25,0.2,0.208,0.195,0.2,0.2,1092800
2023-04-26,0.196,0.219,0.196,0.209,0.209,1317100
2023-04-27,0.2,0.208,0.196,0.207,0.207,941300
2023-04-28,0.202,0.222,0.2,0.212,0.212,1351400
2023-05-01,0.219,0.28,0.21,0.237,0.237,3364200
2023-05-02,0.245,0.256,0.215,0.242,0.242,2818100
2023-05-03,0.24,0.289,0.236,0.256,0.256,3078100
2023-05-04,0.261,0.28,0.248,0.258,0.258,1109100
2023-05-05,0.26,0.27,0.23,0.236,0.236,1416000
2023-05-08,0.236,0.255,0.236,0.252,0.252,675300
2023-05-09,0.258,0.264,0.24,0.263,0.263,681300
2023-05-10,0.264,0.305,0.26,0.29,0.29,2010100
2023-05-11,0.292,0.3,0.28,0.292,0.292,784600
2023-05-12,0.297,0.298,0.28,0.29,0.29,525400
2023-05-15,0.3,0.35,0.3,0.33,0.33,1657800
2023-05-16,0.348,0.348,0.295,0.3,0.3,1057000
2023-05-17,0.199,0.21,0.199,0.2,0.2,8889800
2023-05-18,0.201,0.203,0.187,0.2,0.2,2576600
2023-05-19,0.201,0.213,0.2,0.205,0.205,3273800
2023-05-22,0.21,0.215,0.2,0.214,0.214,1984600
2023-05-23,0.213,0.213,0.201,0.209,0.209,1181800
2023-05-24,0.21,0.213,0.202,0.205,0.205,4796500
2023-05-25,0.205,0.21,0.18,0.199,0.199,1833600
2023-05-26,0.202,0.205,0.193,0.199,0.199,1384900
2023-05-30,0.207,0.207,0.181,0.186,0.186,1247700
2023-05-31,0.186,0.191,0.172,0.172,0.172,1742600
2023-06-01,0.182,0.196,0.173,0.192,0.192,2194000
