Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,33.080002,33.990002,32.919998,33.900002,33.828949,7755600
2022-10-26,33.700001,34.599998,33.700001,33.900002,33.828949,9418900
2022-10-27,34.400002,35.080002,34.040001,34.09,34.018547,8440400
2022-10-28,34.07,34.75,33.700001,34.669998,34.597328,7315400
2022-10-31,34.669998,34.93,33.889999,33.93,33.858883,10301300
2022-11-01,34.330002,34.43,33.529999,33.630001,33.559513,9195500
2022-11-02,33.200001,33.380001,32.029999,32.060001,31.992804,13959700
2022-11-03,31.540001,32.389999,30.98,31.969999,31.90299,10291100
2022-11-04,32.700001,33.220001,32.16,32.759998,32.691334,9712000
2022-11-07,33.369999,33.639999,32.57,33.360001,33.290077,6998500
2022-11-08,33.419998,33.900002,33.099998,33.59,33.519596,7679400
2022-11-09,33.27,34.029999,33.150002,33.459999,33.389866,7765400
2022-11-10,34.529999,35.830002,34.310001,35.490002,35.415615,11959400
2022-11-11,35.689999,36.0,35.259998,35.439999,35.365715,9130000
2022-11-14,34.75,35.490002,34.599998,34.689999,34.617287,8299600
2022-11-15,35.27,35.580002,34.459999,34.900002,34.826851,8391700
2022-11-16,34.419998,34.650002,33.889999,34.119999,34.048485,7329200
2022-11-17,33.439999,34.130001,33.299999,34.060001,33.988613,5522200
2022-11-18,35.0,35.380001,34.169998,34.470001,34.397751,6364200
2022-11-21,34.299999,34.689999,34.049999,34.23,34.158253,5733000
2022-11-22,34.369999,34.509998,33.75,34.23,34.158253,4823800
2022-11-23,34.360001,34.860001,34.200001,34.490002,34.417709,5420600
2022-11-25,34.5,35.389999,34.360001,35.099998,35.026428,4352600
2022-11-28,34.700001,34.919998,33.869999,33.869999,33.799007,6061200
2022-11-29,34.02,34.73,33.880001,34.610001,34.537457,6778200
2022-11-30,34.509998,35.380001,34.209999,35.369999,35.295864,7404100
2022-12-01,35.450001,35.740002,35.099998,35.380001,35.305843,6371600
2022-12-02,35.0,35.720001,34.880001,35.709999,35.635151,6566300
2022-12-05,35.73,36.880001,35.68,35.790001,35.714985,12131800
