Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,44.869999,47.599998,44.439999,47.459999,47.459999,3317700
2022-10-26,46.84,49.514999,46.349998,47.23,47.23,3387100
2022-10-27,47.41,48.32,45.860001,46.34,46.34,3611000
2022-10-28,45.310001,47.709999,44.540001,47.060001,47.060001,6721100
2022-10-31,45.419998,45.639999,42.18,43.529999,43.529999,13377700
2022-11-01,46.5,47.599998,44.540001,45.099998,45.099998,9471700
2022-11-02,44.57,47.360001,44.540001,45.119999,45.119999,6871000
2022-11-03,44.75,48.02,44.5,47.610001,47.610001,11893200
2022-11-04,54.220001,56.98,48.310001,51.57,51.57,20529800
2022-11-07,53.450001,54.560001,50.950001,52.099998,52.099998,8817300
2022-11-08,52.220001,56.470001,51.294998,54.529999,54.529999,8747500
2022-11-09,53.48,54.401001,51.869999,53.25,53.25,5146800
2022-11-10,58.040001,60.5,57.0,59.459999,59.459999,7144000
2022-11-11,60.509998,64.260002,58.5,62.990002,62.990002,7672600
2022-11-14,61.880001,63.790001,60.119999,62.02,62.02,6399100
2022-11-15,64.800003,65.489998,61.889999,63.380001,63.380001,6138800
2022-11-16,61.41,62.23,60.450001,60.779999,60.779999,5031000
2022-11-17,58.830002,60.25,58.07,58.700001,58.700001,4286000
2022-11-18,60.049999,60.060001,56.77,58.290001,58.290001,3139600
2022-11-21,56.700001,57.105,54.5,55.27,55.27,5533600
2022-11-22,55.310001,55.744999,53.029999,53.950001,53.950001,3635800
2022-11-23,54.610001,57.09,53.689999,56.580002,56.580002,3963100
2022-11-25,55.689999,56.439999,55.139999,55.470001,55.470001,1308300
2022-11-28,55.0,57.080002,54.439999,54.650002,54.650002,4707600
2022-11-29,55.310001,55.540001,53.240002,53.34,53.34,2805400
2022-11-30,55.299999,58.639999,54.759998,58.25,58.25,7911200
2022-12-01,57.919998,59.939999,56.57,57.119999,57.119999,4222000
2022-12-02,53.009998,56.220001,52.619999,55.189999,55.189999,4720200
2022-12-05,54.849998,54.990002,52.950001,53.23,53.23,3695700
2022-12-06,52.91,53.970001,51.830002,52.709999,52.709999,5475100
2022-12-07,52.0,53.959999,51.529999,53.619999,53.619999,3606700
2022-12-08,54.16,55.25,53.441002,54.009998,54.009998,3957600
2022-12-09,53.259998,55.540001,52.82,55.27,55.27,3360700
2022-12-12,55.59,58.060001,55.299999,58.02,58.02,5319000
2022-12-13,61.209999,62.32,56.970001,58.240002,58.240002,6198700
2022-12-14,58.0,59.049999,56.889999,58.5,58.5,4133200
2022-12-15,57.5,58.0,54.380001,55.25,55.25,5287100
2022-12-16,55.049999,55.150002,51.720001,52.52,52.52,6140800
2022-12-19,52.790001,53.740002,51.130001,51.439999,51.439999,4111100
2022-12-20,51.029999,52.57,50.167999,51.330002,51.330002,3402300
2022-12-21,52.0,53.93,51.724998,52.919998,52.919998,3964900
2022-12-22,52.0,52.040001,49.700001,51.360001,51.360001,3021200
2022-12-23,50.970001,51.23,49.755001,50.689999,50.689999,2406100
