Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,36.869999,37.869999,36.849998,37.759998,36.47007,7483700
2022-10-26,37.810001,38.290001,37.360001,37.610001,36.325195,13319500
2022-10-27,38.060001,38.549999,37.610001,37.700001,36.412117,9687800
2022-10-28,37.75,38.810001,37.75,38.759998,37.435909,7594400
2022-10-31,38.700001,38.860001,38.389999,38.59,37.271717,6293500
2022-11-01,38.900002,39.009998,38.540001,38.759998,37.435909,5368600
2022-11-02,38.490002,39.27,37.98,38.040001,36.740505,8601300
2022-11-03,36.119999,37.799999,36.099998,36.959999,35.697395,14922000
2022-11-04,37.18,37.529999,36.380001,37.18,35.909885,12529700
2022-11-07,37.470001,37.630001,36.029999,36.68,35.426964,11146200
2022-11-08,36.619999,37.82,36.619999,37.709999,36.421776,11552300
2022-11-09,37.57,38.27,37.540001,37.689999,36.402454,11904400
2022-11-10,38.990002,39.110001,38.189999,39.0,37.667709,8648400
2022-11-11,39.16,39.369999,38.459999,39.110001,37.773952,7487800
2022-11-14,39.0,39.07,38.029999,38.060001,37.080284,6592300
2022-11-15,38.419998,38.830002,37.779999,38.240002,37.25565,6885600
2022-11-16,38.310001,38.720001,38.029999,38.060001,37.080284,5964000
2022-11-17,37.66,37.880001,37.240002,37.48,36.515209,5340700
2022-11-18,37.84,38.73,37.599998,38.580002,37.586899,7599100
2022-11-21,38.509998,38.830002,38.349998,38.700001,37.703804,5784300
2022-11-22,39.049999,39.52,38.919998,39.450001,38.434502,7653600
2022-11-23,39.299999,39.880001,39.209999,39.869999,38.843685,6215600
2022-11-25,39.98,40.27,39.939999,40.07,39.038536,3381200
2022-11-28,40.029999,40.41,39.830002,40.23,39.19442,10027700
2022-11-29,40.009998,40.110001,39.610001,40.0,38.970341,7992500
2022-11-30,39.950001,41.389999,39.889999,41.369999,40.305073,13045600
2022-12-01,41.66,42.040001,41.18,41.529999,40.460953,7897000
2022-12-02,41.18,41.470001,40.790001,41.450001,40.383018,5736200
2022-12-05,41.18,41.790001,41.07,41.75,40.675293,8675600
2022-12-06,41.759998,43.0,41.759998,42.869999,41.766464,19809300
2022-12-07,42.869999,42.939999,42.130001,42.310001,41.220882,14466700
2022-12-08,42.220001,42.380001,41.57,41.77,40.694778,9186700
2022-12-09,41.830002,42.080002,41.41,41.419998,40.353783,5334200
2022-12-12,41.59,42.529999,41.18,42.5,41.405987,5326100
2022-12-13,43.290001,43.509998,42.189999,42.540001,41.444958,8747600
2022-12-14,42.689999,43.650002,42.470001,42.82,41.717747,7271200
2022-12-15,42.700001,42.790001,41.990002,42.380001,41.289078,6088400
2022-12-16,41.849998,42.02,40.84,41.93,40.850662,18680200
2022-12-19,41.82,42.32,41.580002,41.77,40.694778,6261000
2022-12-20,41.779999,42.330002,41.43,42.060001,40.977314,7406600
2022-12-21,42.360001,42.720001,42.200001,42.630001,41.532642,4721800
2022-12-22,42.400002,42.549999,41.860001,42.52,41.425472,6052400
2022-12-23,42.48,43.080002,42.380001,43.040001,41.932087,3317900
2022-12-27,43.169998,43.27,42.860001,43.150002,42.039257,6136100
2022-12-28,43.25,43.490002,42.849998,42.939999,41.83466,3852600
2022-12-29,43.169998,43.459999,43.040001,43.130001,42.019772,3207500
2022-12-30,43.139999,43.310001,42.849998,43.23,42.117195,6185300
2023-01-03,43.25,43.349998,42.43,43.16,42.049,5156700
2023-01-04,43.389999,43.959999,43.220001,43.73,42.604324,4379600
