Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,24.049999,24.57,24.01,24.41,24.003736,28223900
2022-10-26,24.700001,25.4,24.67,25.129999,24.711752,23852900
2022-10-27,25.26,25.360001,24.809999,24.82,24.406912,21524800
2022-10-28,24.5,24.74,24.280001,24.719999,24.308577,16034900
2022-10-31,24.370001,24.530001,24.129999,24.16,23.757896,21769400
2022-11-01,24.84,25.059999,24.57,24.700001,24.28891,23337200
2022-11-02,24.870001,24.98,23.23,23.25,22.863043,43806400
2022-11-03,22.98,23.1,22.58,22.68,22.302528,30349500
2022-11-04,23.76,24.99,23.75,24.950001,24.53475,46797200
2022-11-07,25.1,25.25,24.65,25.15,24.731419,28855200
2022-11-08,25.17,26.950001,25.040001,26.66,26.216288,50666500
2022-11-09,26.530001,27.02,26.16,26.24,25.803278,31653500
2022-11-10,27.780001,28.309999,27.309999,28.209999,27.74049,46849500
2022-11-11,28.290001,28.34,27.83,28.299999,27.828993,23159900
2022-11-14,28.129999,28.379999,27.879999,28.120001,27.651991,20061300
2022-11-15,28.440001,28.49,27.58,27.85,27.386484,29900700
2022-11-16,27.639999,27.99,27.530001,27.530001,27.07181,15708600
2022-11-17,27.059999,27.280001,26.84,27.120001,26.668633,24647700
2022-11-18,27.040001,27.41,26.92,27.370001,26.914473,28557400
2022-11-21,27.17,27.26,26.76,27.18,26.727634,21118100
2022-11-22,27.41,28.26,27.370001,28.26,27.78966,29686300
2022-11-23,28.25,28.780001,28.0,28.709999,28.232168,34294200
2022-11-25,28.6,28.690001,28.34,28.440001,27.966663,19297900
2022-11-28,28.35,28.370001,27.25,27.299999,26.845636,33665500
2022-11-29,27.719999,28.299999,27.709999,28.15,27.68149,35118700
2022-11-30,28.530001,29.24,28.09,29.049999,28.566509,36827500
2022-12-01,29.73,30.27,29.440001,30.040001,29.540035,50107700
2022-12-02,29.370001,30.01,29.16,29.92,29.422031,35815500
2022-12-05,29.629999,29.629999,28.75,28.84,28.360006,42576900
2022-12-06,29.200001,29.540001,28.77,28.85,28.369841,25644000
2022-12-07,29.07,29.73,29.059999,29.41,28.920519,38808500
2022-12-08,29.639999,29.83,29.26,29.41,28.920519,18092100
2022-12-09,29.690001,30.1,29.040001,29.07,28.586178,24143000
2022-12-12,28.83,28.99,28.43,28.940001,28.458342,24168700
2022-12-13,30.030001,30.459999,29.469999,29.780001,29.284363,27695800
2022-12-14,29.790001,29.959999,29.09,29.629999,29.136856,21961300
2022-12-15,28.790001,28.99,28.290001,28.32,27.84866,29060400
2022-12-16,28.33,28.790001,28.120001,28.6,28.124001,23730900
2022-12-19,28.219999,28.34,27.549999,27.66,27.66,19577300
2022-12-20,28.200001,28.91,28.110001,28.74,28.74,26872000
2022-12-21,28.98,29.32,28.9,29.08,29.08,21455400
2022-12-22,28.629999,28.790001,28.120001,28.76,28.76,20148800
2022-12-23,28.85,29.219999,28.379999,28.870001,28.870001,16348000
2022-12-27,29.08,29.99,28.860001,29.6,29.6,19464100
2022-12-28,29.35,29.389999,28.540001,28.68,28.68,19542300
2022-12-29,29.030001,29.23,28.74,28.82,28.82,9649200
2022-12-30,28.870001,28.92,28.41,28.66,28.66,12476200
2023-01-03,29.33,30.049999,29.25,29.66,29.66,25649100
2023-01-04,30.280001,31.08,30.15,30.92,30.92,34447800
2023-01-05,30.35,30.690001,30.030001,30.65,30.65,22716800
2023-01-06,31.18,31.68,30.68,31.559999,31.559999,32615400
2023-01-09,31.950001,31.969999,31.25,31.26,31.26,31134600
2023-01-10,31.379999,31.870001,31.200001,31.84,31.84,16411300
2023-01-11,32.0,32.080002,31.26,31.57,31.57,16050800
2023-01-12,32.110001,32.299999,31.549999,32.18,32.18,26636800
2023-01-13,32.18,32.75,32.139999,32.650002,32.650002,22740500
2023-01-17,32.279999,32.32,31.33,31.52,31.52,28431300
2023-01-18,32.060001,32.23,31.209999,31.209999,31.209999,18027500
2023-01-19,31.459999,32.200001,31.25,32.02,32.02,31665300
2023-01-20,31.76,32.439999,31.59,32.419998,32.419998,22162100
2023-01-23,32.029999,32.419998,31.709999,32.400002,32.400002,24634900
2023-01-24,32.25,32.799999,31.870001,32.73,32.73,19363200
2023-01-25,32.32,33.34,32.259998,33.27,33.27,21882900
2023-01-26,33.169998,33.169998,32.41,32.759998,32.759998,20056100
2023-01-27,32.599998,32.630001,32.09,32.310001,32.310001,18369000
2023-01-30,32.209999,32.369999,31.83,31.83,31.83,15401300
2023-01-31,31.73,32.040001,31.530001,32.02,32.02,13269000
2023-02-01,32.0,33.0,31.66,32.740002,32.740002,27611700
2023-02-02,32.91,32.939999,31.42,31.719999,31.719999,39837600
2023-02-03,30.84,31.110001,30.209999,30.32,30.32,35462300
2023-02-06,30.27,30.42,30.02,30.209999,30.209999,19969200
2023-02-07,30.290001,31.0,30.139999,30.629999,30.629999,24785700
2023-02-08,30.780001,30.780001,30.290001,30.370001,30.370001,12449600
2023-02-09,30.700001,30.91,29.59,29.76,29.76,22281000
2023-02-10,29.809999,29.950001,29.360001,29.620001,29.620001,16416400
2023-02-13,29.52,29.799999,29.32,29.58,29.58,12356800
2023-02-14,29.34,29.84,29.110001,29.639999,29.639999,17614900
2023-02-15,28.959999,28.959999,28.51,28.790001,28.790001,22878800
2023-02-16,28.48,28.959999,28.139999,28.67,28.67,19613900
2023-02-17,28.290001,28.469999,27.790001,28.41,28.41,23330400
2023-02-21,28.27,28.559999,27.950001,28.110001,28.110001,16102000
2023-02-22,27.889999,27.959999,27.25,27.450001,27.450001,21109400
2023-02-23,27.49,27.629999,27.129999,27.309999,27.309999,15686500
2023-02-24,26.879999,27.049999,26.639999,26.99,26.99,20021000
2023-02-27,27.120001,27.32,26.950001,27.200001,27.200001,15404900
2023-02-28,27.219999,27.690001,26.950001,27.51,27.51,25664000
2023-03-01,27.799999,28.34,27.719999,28.110001,28.110001,36704800
2023-03-02,28.0,28.209999,27.84,28.17,28.17,14676700
2023-03-03,28.51,28.639999,28.200001,28.629999,28.629999,15765100
2023-03-06,28.35,28.49,27.9,28.08,28.08,16153000
2023-03-07,27.719999,27.799999,26.73,26.889999,26.889999,34513100
2023-03-08,26.92,27.370001,26.68,26.809999,26.809999,23263500
2023-03-09,27.059999,27.33,26.59,26.68,26.68,20883200
2023-03-10,27.299999,27.950001,27.15,27.200001,27.200001,35754000
2023-03-13,28.5,29.290001,28.34,29.1,29.1,56706500
2023-03-14,29.030001,29.48,28.75,29.33,29.33,24328900
2023-03-15,29.83,29.83,28.940001,29.33,29.33,34832600
2023-03-16,29.450001,29.5,28.5,29.16,29.16,31403700
2023-03-17,29.74,31.030001,29.360001,30.58,30.58,63723800
2023-03-20,31.02,31.309999,30.76,31.110001,31.110001,28656500
2023-03-21,30.620001,30.629999,29.639999,30.0,30.0,35598100
2023-03-22,30.120001,31.18,30.040001,30.559999,30.559999,30862300
2023-03-23,30.889999,31.700001,30.65,31.309999,31.309999,27957400
2023-03-24,31.389999,31.799999,31.110001,31.549999,31.549999,28455900
2023-03-27,30.860001,31.549999,30.74,31.52,31.52,17072000
2023-03-28,31.700001,32.349998,31.43,32.310001,32.310001,24621900
2023-03-29,32.02,32.369999,31.879999,32.040001,32.040001,17267900
2023-03-30,32.360001,32.630001,32.110001,32.52,32.52,18704200
2023-03-31,32.619999,32.73,32.09,32.349998,32.349998,18460400
2023-04-03,32.5,33.290001,32.240002,33.080002,33.080002,32416400
