Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,0.74,0.799,0.72,0.751,0.751,1755500
2022-10-26,0.78,0.827,0.754,0.78,0.78,3340800
2022-10-27,0.8,0.81,0.68,0.685,0.685,3767300
2022-10-28,0.68,0.701,0.67,0.681,0.681,1729900
2022-10-31,0.71,0.714,0.651,0.661,0.661,1784000
2022-11-01,0.703,0.73,0.64,0.65,0.65,2289800
2022-11-02,0.65,0.789,0.65,0.707,0.707,3529700
2022-11-03,0.68,0.859,0.68,0.76,0.76,7006300
2022-11-04,0.81,0.83,0.75,0.79,0.79,2732200
2022-11-07,0.82,0.82,0.731,0.732,0.732,1247700
2022-11-08,0.73,0.757,0.724,0.741,0.741,580300
2022-11-09,0.71,0.716,0.66,0.682,0.682,1416300
2022-11-10,0.708,0.73,0.705,0.73,0.73,1121800
2022-11-11,0.78,0.805,0.74,0.746,0.746,2448300
2022-11-14,0.755,0.91,0.755,0.889,0.889,4018800
2022-11-15,0.927,1.19,0.927,1.12,1.12,5499000
2022-11-16,1.08,1.1,0.912,0.913,0.913,6767300
2022-11-17,0.906,1.13,0.901,1.1,1.1,6525900
2022-11-18,1.11,1.18,1.02,1.09,1.09,5360800
2022-11-21,1.05,1.12,1.0,1.06,1.06,3501200
2022-11-22,1.12,1.14,0.952,1.08,1.08,6088000
2022-11-23,1.06,1.08,1.01,1.06,1.06,1773200
2022-11-25,1.0,1.07,0.96,1.05,1.05,1812300
2022-11-28,1.03,1.07,1.0,1.06,1.06,1395100
2022-11-29,1.1,1.17,1.07,1.13,1.13,2992700
2022-11-30,1.18,1.37,1.18,1.29,1.29,10780900
2022-12-01,1.285,1.29,1.22,1.26,1.26,1377900
2022-12-02,1.23,1.41,1.22,1.4,1.4,3079100
2022-12-05,1.45,1.55,1.4,1.41,1.41,4719300
2022-12-06,1.44,1.5,1.38,1.49,1.49,2071600
2022-12-07,1.43,1.5,1.38,1.48,1.48,1867600
2022-12-08,1.52,1.71,1.5,1.67,1.67,5515200
2022-12-09,1.69,1.95,1.67,1.73,1.73,12087100
2022-12-12,1.67,1.73,1.63,1.67,1.67,4590100
2022-12-13,1.75,1.88,1.735,1.85,1.85,4162600
2022-12-14,1.85,2.289,1.85,2.18,2.18,9891600
2022-12-15,2.14,2.59,2.13,2.58,2.58,17052800
2022-12-16,2.66,3.145,2.52,3.12,3.12,25214000
