Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,327.859985,333.600006,325.920013,332.399994,325.408783,1837700
2022-10-26,334.519989,338.670013,334.140015,335.690002,328.629639,2176700
2022-10-27,339.309998,341.929993,336.529999,337.179993,330.088257,1998800
2022-10-28,338.519989,342.579987,336.0,341.820007,334.630707,1677100
2022-10-31,341.070007,346.179993,340.570007,344.51001,337.26413,2224000
2022-11-01,345.130005,348.690002,343.769989,348.579987,341.248505,2316600
2022-11-02,347.619995,357.440002,346.73999,349.790009,342.433044,3221200
2022-11-03,347.5,350.670013,342.589996,348.869995,341.532379,2515600
2022-11-04,354.0,358.380005,351.230011,357.910004,350.382294,3172700
2022-11-07,360.01001,362.959991,358.519989,362.559998,354.934448,2526900
2022-11-08,362.299988,367.190002,361.459991,364.019989,356.363739,3501300
2022-11-09,362.950012,367.149994,360.880005,362.0,354.38623,3047200
2022-11-10,370.0,380.429993,369.73999,378.309998,370.35318,3790400
2022-11-11,380.0,387.0,378.75,385.170013,377.068939,3409100
2022-11-14,384.0,387.299988,380.5,382.359985,374.317993,2609100
2022-11-15,385.980011,389.579987,380.649994,382.880005,374.827087,3192400
2022-11-16,383.209991,385.399994,380.01001,382.329987,374.288666,2303700
2022-11-17,377.149994,381.720001,375.01001,379.779999,371.792267,2297600
2022-11-18,381.279999,382.829987,377.390015,379.200012,371.224518,2384500
2022-11-21,378.899994,380.769989,375.420013,380.209991,372.213257,1877500
2022-11-22,381.399994,385.829987,381.399994,383.869995,375.796234,2019400
2022-11-23,383.899994,388.200012,383.410004,386.25,378.12619,1865400
2022-11-25,385.76001,389.440002,385.179993,388.859985,380.681305,1129300
2022-11-28,385.429993,388.390015,380.890015,382.359985,374.317993,2232200
2022-11-29,381.130005,384.929993,379.26001,383.709991,375.639618,1746900
2022-11-30,382.5,386.149994,375.100006,386.149994,380.507446,2964100
2022-12-01,386.5,386.5,380.450012,383.809998,378.20163,1706300
2022-12-02,381.519989,382.519989,378.399994,380.579987,375.018799,1932300
2022-12-05,378.549988,378.869995,369.309998,371.540009,366.110931,2329600
2022-12-06,369.480011,370.369995,360.329987,362.910004,357.607056,3081900
2022-12-07,362.48999,365.299988,358.149994,359.920013,354.660736,2128200
