Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,26.91,27.6,26.85,27.58,26.844509,7136800
2022-10-26,27.129999,28.110001,27.040001,27.48,26.747175,6935800
2022-10-27,27.76,27.91,27.110001,27.219999,26.49411,6395800
2022-10-28,27.280001,28.120001,27.280001,28.049999,27.301973,8033300
2022-10-31,27.790001,27.889999,27.530001,27.620001,26.883442,5403100
2022-11-01,27.940001,28.07,27.370001,27.85,27.107309,5113000
2022-11-02,27.780001,28.07,26.98,26.98,26.260509,5789600
2022-11-03,26.700001,26.91,26.200001,26.66,25.949043,5423500
2022-11-04,27.370001,28.309999,27.219999,28.290001,27.535576,13497700
2022-11-07,28.35,28.92,28.27,28.75,27.983309,8825700
2022-11-08,29.0,29.370001,28.690001,28.85,28.080641,8721300
2022-11-09,28.5,28.66,27.719999,27.799999,27.058641,7574400
2022-11-10,28.950001,29.299999,28.629999,29.299999,28.518639,11861500
2022-11-11,29.32,30.690001,29.290001,30.549999,29.735304,11423100
2022-11-14,30.17,30.91,30.08,30.43,29.618507,8178800
2022-11-15,30.9,31.09,30.34,30.559999,29.745039,8492800
2022-11-16,30.200001,30.27,28.99,29.290001,28.508907,9147500
2022-11-17,28.860001,29.459999,28.309999,29.43,28.645176,9984400
2022-11-18,29.049999,29.620001,28.889999,29.48,28.693838,9218000
2022-11-21,29.16,29.299999,28.68,29.16,28.382376,10697100
2022-11-22,29.23,29.42,28.639999,29.379999,28.596506,15114900
2022-11-23,29.120001,30.17,28.309999,29.91,29.112373,17741200
2022-11-25,29.799999,30.74,29.709999,30.15,29.345972,5959300
2022-11-28,29.75,29.790001,29.120001,29.209999,28.431038,6676500
2022-11-29,29.35,29.610001,28.83,28.879999,28.109838,7753000
2022-11-30,29.0,30.059999,28.719999,30.040001,29.238909,10286900
2022-12-01,30.110001,30.23,29.780001,29.860001,29.063707,5757300
2022-12-02,29.440001,29.799999,29.25,29.639999,28.849573,5259500
2022-12-05,29.41,29.620001,29.129999,29.209999,28.431038,4936300
2022-12-06,29.17,29.26,28.129999,28.309999,27.555042,6393900
2022-12-07,28.0,28.25,27.629999,27.83,27.087843,7108300
2022-12-08,28.01,28.809999,27.91,28.48,27.720509,6993000
2022-12-09,28.389999,28.73,28.200001,28.209999,27.457706,5431800
2022-12-12,28.18,29.040001,28.07,29.02,28.246107,7439200
2022-12-13,29.52,29.73,28.709999,28.870001,28.3571,7512800
2022-12-14,28.59,29.049999,28.120001,28.360001,27.856161,6799400
2022-12-15,27.709999,27.870001,26.700001,26.84,26.363165,10422200
2022-12-16,26.629999,26.879999,26.41,26.719999,26.245296,17947100
2022-12-19,26.76,26.940001,26.280001,26.559999,26.088139,5210300
2022-12-20,26.5,26.809999,26.360001,26.610001,26.137251,5336000
2022-12-21,26.780001,27.0,26.65,26.690001,26.21583,4856400
2022-12-22,26.26,26.67,26.09,26.66,26.186363,5460700
2022-12-23,26.66,26.799999,26.360001,26.76,26.284586,4084900
2022-12-27,26.77,27.17,26.610001,27.07,26.589079,5324900
2022-12-28,27.07,27.23,26.42,26.540001,26.068495,5358400
2022-12-29,26.860001,27.299999,26.85,27.040001,26.559612,4703300
2022-12-30,26.73,26.889999,26.52,26.870001,26.392632,4245300
2023-01-03,27.0,27.25,26.58,26.75,26.274763,6467300
2023-01-04,27.26,27.690001,26.93,27.219999,26.736414,5823800
2023-01-05,27.040001,27.42,26.860001,27.209999,26.726589,4778600
2023-01-06,27.52,28.57,27.32,28.360001,27.856161,5501700
2023-01-09,28.629999,29.18,28.48,28.639999,28.131184,5792000
2023-01-10,28.620001,29.1,28.52,29.09,28.573193,4372700
2023-01-11,29.059999,29.09,28.540001,28.83,28.31781,6013700
2023-01-12,28.92,28.959999,28.42,28.549999,28.042784,6110900
2023-01-13,28.299999,28.309999,27.620001,27.91,27.414156,7330000
2023-01-17,27.860001,27.91,27.309999,27.59,27.09984,6452100
2023-01-18,27.66,28.030001,27.459999,27.530001,27.040907,5376200
2023-01-19,27.24,27.309999,26.76,26.959999,26.481031,5431000
2023-01-20,27.02,27.940001,26.879999,27.91,27.414156,6692400
2023-01-23,28.049999,28.790001,28.049999,28.6,28.091896,4780900
2023-01-24,28.5,28.610001,28.27,28.4,27.895451,4295800
2023-01-25,28.0,28.84,27.9,28.690001,28.180298,4646300
2023-01-26,28.98,29.01,28.41,29.01,28.494614,4220400
2023-01-27,28.700001,29.540001,28.629999,29.23,28.710703,6954500
2023-01-30,28.9,29.129999,28.780001,28.82,28.307989,4727800
2023-01-31,28.76,29.139999,28.6,29.139999,28.622301,5884100
2023-02-01,29.040001,29.93,28.9,29.870001,29.339334,5698700
2023-02-02,30.09,31.02,30.0,30.790001,30.24299,6461300
2023-02-03,30.360001,30.91,30.33,30.51,29.967964,4339300
2023-02-06,30.219999,30.32,29.540001,29.77,29.241112,5145600
2023-02-07,29.66,30.059999,29.34,30.0,29.467026,5472200
2023-02-08,29.790001,29.98,29.58,29.610001,29.083954,4341900
2023-02-09,30.0,30.15,29.43,29.66,29.133066,3726400
2023-02-10,29.51,30.219999,29.51,29.969999,29.437555,4136700
2023-02-13,29.860001,30.35,29.799999,30.34,29.800985,4280900
2023-02-14,30.33,30.450001,30.02,30.4,29.859917,5647800
2023-02-15,30.07,30.549999,30.049999,30.530001,29.98761,4269600
2023-02-16,30.219999,30.57,30.1,30.27,29.732229,3514200
2023-02-17,30.08,30.24,29.74,30.16,29.624182,5758100
2023-02-21,29.629999,29.73,28.969999,29.0,28.484791,5779500
2023-02-22,29.030001,29.389999,28.92,29.08,28.56337,5496800
2023-02-23,29.5,29.68,28.959999,29.549999,29.025017,5786800
2023-02-24,29.1,29.379999,28.940001,29.219999,28.70088,6133700
2023-02-27,29.57,29.629999,29.24,29.389999,28.867861,7270500
2023-02-28,29.360001,30.26,29.219999,29.52,28.995552,15390900
2023-03-01,29.959999,29.969999,28.719999,28.860001,28.347279,10330600
2023-03-02,28.68,28.889999,28.15,28.809999,28.298164,7299000
2023-03-03,28.85,28.99,28.57,28.610001,28.101719,6968200
2023-03-06,28.870001,29.09,28.5,28.57,28.062429,7506400
2023-03-07,28.299999,28.35,27.48,27.66,27.421019,8361200
2023-03-08,27.799999,28.280001,27.6,28.27,28.025749,5565000
2023-03-09,28.299999,28.52,27.870001,27.889999,27.649033,6341700
2023-03-10,27.83,27.84,27.049999,27.450001,27.212835,6869100
2023-03-13,27.110001,27.6,26.93,27.34,27.103785,7435200
2023-03-14,27.870001,28.280001,27.58,27.809999,27.569723,6083100
2023-03-15,27.26,28.02,27.25,27.959999,27.718426,8857800
2023-03-16,27.6,28.4,27.51,28.309999,28.065403,8315400
2023-03-17,28.25,28.42,27.799999,28.040001,27.797737,23967300
2023-03-20,28.18,28.66,28.040001,28.190001,27.946442,7153100
2023-03-21,28.530001,28.790001,28.290001,28.610001,28.362812,6421100
2023-03-22,28.6,28.66,27.83,27.85,27.609379,5558000
2023-03-23,27.870001,28.209999,27.48,27.719999,27.480501,5651300
2023-03-24,27.559999,27.76,27.24,27.719999,27.480501,5796400
2023-03-27,27.969999,28.09,27.75,27.889999,27.649033,4041700
2023-03-28,27.77,27.799999,27.42,27.629999,27.391277,4300700
2023-03-29,28.049999,28.34,27.969999,28.309999,28.065403,4755500
2023-03-30,28.629999,28.950001,28.540001,28.9,28.650305,4913800
2023-03-31,28.950001,29.389999,28.950001,29.35,29.096418,7653500
2023-04-03,29.34,29.969999,29.27,29.889999,29.631752,6518900
2023-04-04,29.940001,30.08,29.4,29.549999,29.294689,5134900
2023-04-05,29.360001,29.709999,29.190001,29.41,29.155899,5529800
2023-04-06,29.34,29.530001,29.18,29.290001,29.036938,3968200
2023-04-10,29.17,29.75,29.120001,29.74,29.483047,5937900
2023-04-11,30.0,30.299999,29.84,29.940001,29.68132,4717500
2023-04-12,30.15,30.15,29.57,29.66,29.40374,6313600
2023-04-13,29.75,30.030001,29.42,29.9,29.641666,4606900
2023-04-14,29.870001,30.629999,29.68,29.82,29.562357,6511200
2023-04-17,30.700001,31.129999,30.469999,30.93,30.662767,9530500
2023-04-18,31.09,31.469999,31.0,31.219999,30.95026,7040300
2023-04-19,30.530001,30.76,30.02,30.209999,29.948986,6095500
2023-04-20,29.790001,30.059999,29.52,29.629999,29.373999,5300000
2023-04-21,29.58,29.690001,29.16,29.48,29.225294,4776700
2023-04-24,29.440001,29.719999,29.25,29.469999,29.21538,4656800
2023-04-25,29.299999,29.610001,29.190001,29.26,29.007196,5337100
2023-04-26,29.08,29.209999,28.719999,28.959999,28.709787,5694600
2023-04-27,29.01,29.73,29.01,29.719999,29.463221,6091500
2023-04-28,29.790001,30.07,29.51,29.709999,29.453306,6710500
2023-05-01,29.860001,30.24,29.809999,29.959999,29.701147,4738000
2023-05-02,30.370001,30.48,29.52,30.120001,29.859766,6896000
2023-05-03,30.209999,30.469999,29.860001,29.860001,29.602013,5708500
2023-05-04,29.639999,29.76,29.27,29.4,29.145987,4771700
2023-05-05,29.75,30.219999,29.66,30.129999,29.869678,4591600
2023-05-08,30.25,30.34,29.940001,30.190001,29.929161,4672500
2023-05-09,30.08,30.4,30.0,30.290001,30.028297,5547100
2023-05-10,30.6,30.68,29.5,29.860001,29.602013,5733100
2023-05-11,29.68,29.780001,29.17,29.389999,29.136072,5564500
2023-05-12,29.35,29.35,28.530001,28.9,28.650305,7327900
2023-05-15,28.870001,29.59,28.799999,29.57,29.314516,5953600
2023-05-16,29.67,30.01,29.530001,29.66,29.40374,6263100
2023-05-17,30.0,30.43,29.76,30.27,30.008471,5741700
2023-05-18,30.25,30.77,30.1,30.74,30.474409,4764000
2023-05-19,30.959999,30.98,30.450001,30.540001,30.276138,5223800
2023-05-22,30.49,30.799999,30.290001,30.709999,30.444666,5832300
2023-05-23,30.49,30.83,30.41,30.559999,30.295963,5110700
2023-05-24,30.42,30.42,29.83,30.0,29.740803,5980100
2023-05-25,30.52,30.959999,30.34,30.9,30.633026,7596700
2023-05-26,31.0,31.4,30.870001,31.299999,31.02957,8371200
2023-05-30,31.620001,31.709999,30.860001,30.93,30.662767,10566800
2023-05-31,29.77,30.27,28.73,29.059999,28.808924,30735500
2023-06-01,29.27,29.950001,28.809999,29.42,29.165813,15653100
2023-06-02,29.52,30.790001,29.52,30.549999,30.286049,10255700
2023-06-05,30.459999,30.459999,29.26,29.290001,29.036938,9679700
2023-06-06,29.120001,29.91,29.059999,29.65,29.393826,6805700
2023-06-07,29.610001,30.049999,29.49,29.93,29.671408,7268200
2023-06-08,30.030001,30.200001,29.559999,30.040001,29.780457,5075000
2023-06-09,30.23,30.450001,29.74,29.799999,29.54253,6441100
