Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,16.9,17.370001,16.83,17.33,17.33,3726700
2022-10-26,17.24,17.667999,17.23,17.27,17.27,3502800
2022-10-27,17.5,17.76,17.459999,17.49,17.49,3321200
2022-10-28,17.51,17.73,17.259001,17.67,17.67,3267200
2022-10-31,17.605,17.85,17.530001,17.74,17.74,3352900
2022-11-01,17.940001,18.049999,17.775,17.83,17.83,3849400
2022-11-02,17.700001,17.940001,17.299999,17.32,17.32,5053600
2022-11-03,17.18,17.49,16.91,17.299999,17.299999,6114000
2022-11-04,17.74,17.959999,17.514999,17.73,17.73,5428300
2022-11-07,17.9,18.01,17.58,17.889999,17.889999,3470500
2022-11-08,17.82,18.040001,17.655001,17.84,17.84,3155000
2022-11-09,17.73,17.9,17.6,17.67,17.67,2755300
2022-11-10,18.26,18.620001,18.16,18.530001,18.530001,5294900
2022-11-11,18.629999,18.85,18.540001,18.719999,18.719999,4507200
2022-11-14,18.620001,18.788,18.469999,18.469999,18.469999,2642100
2022-11-15,18.85,19.025999,18.5,18.65,18.65,5463700
2022-11-16,18.49,18.49,18.15,18.200001,18.200001,6873900
2022-11-17,17.940001,18.135,17.855,18.120001,18.120001,3084100
2022-11-18,18.43,18.559999,18.07,18.18,18.18,2576300
2022-11-21,18.1,18.26,17.99,18.049999,18.049999,3688100
2022-11-22,18.1,18.190001,17.85,18.09,18.09,2206100
2022-11-23,18.09,18.434999,18.075001,18.379999,18.379999,2301300
2022-11-25,18.360001,18.665001,18.32,18.610001,18.610001,866000
2022-11-28,18.389999,18.5,18.08,18.08,18.08,2348300
2022-11-29,18.16,18.43,18.16,18.4,18.4,2450500
2022-11-30,18.4,18.77,18.26,18.74,18.74,2858400
2022-12-01,18.799999,18.9,18.620001,18.66,18.66,2311900
2022-12-02,18.5,18.745001,18.440001,18.74,18.74,1816400
2022-12-05,18.690001,18.969999,18.59,18.700001,18.700001,3195000
2022-12-06,18.73,18.85,18.475,18.700001,18.700001,2441800
2022-12-07,18.620001,18.620001,18.084999,18.09,18.09,3480800
2022-12-08,18.16,18.375,17.959999,18.040001,18.040001,3017100
2022-12-09,17.969999,18.15,17.92,18.110001,18.110001,1562100
2022-12-12,18.1,18.610001,18.059999,18.6,18.6,2259800
2022-12-13,19.059999,19.15,17.940001,18.07,18.07,6775200
2022-12-14,18.25,18.33,17.870001,18.059999,18.059999,4191700
2022-12-15,17.889999,17.948,17.504999,17.6,17.6,4230500
