Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,2.95,3.195,2.95,3.11,3.11,12506600
2022-10-26,3.055,3.21,3.05,3.14,3.14,10003800
2022-10-27,3.18,3.22,3.03,3.07,3.07,6402000
2022-10-28,3.07,3.23,3.035,3.2,3.2,6419800
2022-10-31,3.2,3.81,3.175,3.79,3.79,22234200
2022-11-01,3.9,3.97,3.38,3.4,3.4,14433600
2022-11-02,3.4,3.53,3.29,3.3,3.3,9487500
2022-11-03,3.4,3.69,2.93,2.94,2.94,32296800
2022-11-04,3.03,3.06,2.85,2.96,2.96,15218800
2022-11-07,2.999,3.025,2.82,2.86,2.86,15505900
2022-11-08,2.92,2.98,2.79,2.82,2.82,14909500
2022-11-09,2.78,2.79,2.52,2.56,2.56,14410500
2022-11-10,2.79,2.79,2.64,2.74,2.74,18513300
2022-11-11,2.73,3.0,2.64,2.97,2.97,12825400
2022-11-14,2.97,3.13,2.83,3.08,3.08,10610000
2022-11-15,3.18,3.2,2.96,3.08,3.08,14863200
2022-11-16,3.0,3.05,2.885,2.99,2.99,8398100
2022-11-17,2.9,2.92,2.81,2.87,2.87,8974200
2022-11-18,2.94,2.94,2.71,2.74,2.74,9529000
2022-11-21,2.71,2.71,2.5,2.53,2.53,15668400
2022-11-22,2.54,2.55,2.27,2.3,2.3,18238900
2022-11-23,2.3,2.43,2.28,2.38,2.38,8403600
2022-11-25,2.42,2.43,2.35,2.39,2.39,2976200
2022-11-28,2.355,2.39,2.29,2.31,2.31,5497300
2022-11-29,2.32,2.4,2.31,2.35,2.35,4795300
2022-11-30,2.36,2.62,2.36,2.62,2.62,10664700
2022-12-01,2.66,2.7,2.47,2.6,2.6,8952000
2022-12-02,2.55,2.895,2.51,2.85,2.85,9587000
2022-12-05,2.91,2.92,2.64,2.67,2.67,7404300
2022-12-06,2.66,2.67,2.46,2.46,2.46,7484500
2022-12-07,2.45,2.46,2.36,2.41,2.41,5426300
2022-12-08,2.43,2.48,2.28,2.38,2.38,9562800
2022-12-09,2.36,2.47,2.29,2.32,2.32,7587600
2022-12-12,2.32,2.39,2.27,2.34,2.34,6638200
2022-12-13,2.44,2.45,2.01,2.16,2.16,31092700
2022-12-14,2.12,2.18,2.06,2.11,2.11,9123300
2022-12-15,2.12,2.16,2.061,2.13,2.13,14824600
2022-12-16,2.17,2.45,2.17,2.42,2.42,32634700
2022-12-19,2.34,2.41,2.17,2.32,2.32,11666500
2022-12-20,2.27,2.39,2.25,2.26,2.26,6184000
2022-12-21,2.295,2.49,2.225,2.45,2.45,8910300
2022-12-22,2.4,2.57,2.21,2.49,2.49,11744800
2022-12-23,2.48,2.7,2.36,2.62,2.62,9467000
2022-12-27,2.54,2.59,2.35,2.39,2.39,8641700
2022-12-28,2.35,2.45,2.245,2.26,2.26,8631500
2022-12-29,2.28,2.395,2.28,2.39,2.39,8676700
2022-12-30,2.29,2.32,2.12,2.16,2.16,15294900
2023-01-03,2.22,2.27,2.11,2.22,2.22,9985000
2023-01-04,2.23,2.33,2.14,2.3,2.3,12101000
2023-01-05,2.26,2.28,2.13,2.14,2.14,9514700
2023-01-06,2.15,2.16,2.1,2.13,2.13,6943200
2023-01-09,2.21,2.32,2.19,2.28,2.28,8720100
2023-01-10,2.27,2.38,2.19,2.38,2.38,7720000
2023-01-11,2.39,2.45,2.305,2.39,2.39,10833600
2023-01-12,2.43,2.55,2.33,2.51,2.51,8586700
2023-01-13,2.5,2.57,2.4,2.55,2.55,8430500
2023-01-17,2.58,2.64,2.485,2.6,2.6,7886000
2023-01-18,2.61,2.71,2.44,2.47,2.47,10210400
2023-01-19,2.43,2.43,2.29,2.39,2.39,9043300
2023-01-20,2.43,2.55,2.4,2.52,2.52,9630900
2023-01-23,2.61,2.79,2.53,2.76,2.76,15552700
2023-01-24,2.71,2.73,2.56,2.61,2.61,11976500
2023-01-25,2.57,2.7,2.48,2.67,2.67,9181600
2023-01-26,2.75,2.758,2.45,2.53,2.53,20754700
2023-01-27,2.48,2.89,2.42,2.77,2.77,35690700
2023-01-30,2.69,2.72,2.51,2.51,2.51,13450600
2023-01-31,2.55,2.73,2.49,2.71,2.71,15994400
2023-02-01,2.68,2.73,2.55,2.66,2.66,14907900
2023-02-02,2.77,2.87,2.655,2.73,2.73,19064900
2023-02-03,2.65,2.98,2.61,2.75,2.75,21576700
2023-02-06,2.81,2.815,2.61,2.63,2.63,14702700
2023-02-07,2.68,2.69,2.51,2.61,2.61,15109700
2023-02-08,2.57,2.6,2.51,2.54,2.54,8509000
2023-02-09,2.58,2.59,2.39,2.42,2.42,12643100
2023-02-10,2.41,2.42,2.33,2.42,2.42,10952800
2023-02-13,2.46,2.54,2.35,2.51,2.51,11413700
2023-02-14,2.45,2.58,2.4,2.51,2.51,12760500
2023-02-15,2.5,2.67,2.47,2.67,2.67,13896500
2023-02-16,2.6,2.63,2.51,2.51,2.51,13301700
2023-02-17,2.51,2.52,2.41,2.51,2.51,9848700
2023-02-21,2.47,2.48,2.36,2.39,2.39,12758600
2023-02-22,2.4,2.41,2.26,2.33,2.33,14651200
2023-02-23,2.37,2.41,2.12,2.2,2.2,29253800
2023-02-24,2.14,2.26,2.1,2.22,2.22,15974300
2023-02-27,2.25,2.27,2.17,2.22,2.22,9902900
2023-02-28,2.22,2.3,2.2,2.22,2.22,8635300
2023-03-01,2.21,2.21,2.11,2.16,2.16,9624100
2023-03-02,2.13,2.15,2.075,2.11,2.11,9948800
2023-03-03,2.14,2.2,2.12,2.15,2.15,9640200
2023-03-06,2.16,2.17,2.05,2.06,2.06,10597200
2023-03-07,2.06,2.06,1.95,1.95,1.95,16770600
2023-03-08,1.965,1.965,1.88,1.94,1.94,10223300
2023-03-09,1.91,1.96,1.79,1.8,1.8,10784900
2023-03-10,1.81,1.81,1.64,1.66,1.66,17486600
2023-03-13,1.65,1.82,1.6,1.78,1.78,18254900
2023-03-14,1.84,1.87,1.64,1.67,1.67,16651400
2023-03-15,1.65,1.66,1.55,1.64,1.64,12125700
2023-03-16,1.64,1.75,1.6,1.75,1.75,9598900
2023-03-17,1.76,1.77,1.67,1.7,1.7,13270700
2023-03-20,1.67,1.68,1.5,1.56,1.56,18444600
2023-03-21,1.6,1.64,1.55,1.62,1.62,13778600
2023-03-22,1.61,1.62,1.51,1.51,1.51,15154600
2023-03-23,1.54,1.54,1.35,1.41,1.41,19098200
2023-03-24,1.38,1.5,1.36,1.5,1.5,12080400
2023-03-27,1.5,1.53,1.42,1.51,1.51,7796600
2023-03-28,1.5,1.5,1.46,1.48,1.48,5881800
2023-03-29,1.51,1.52,1.47,1.5,1.5,10322800
2023-03-30,1.51,1.52,1.39,1.4,1.4,20048400
2023-03-31,1.27,1.27,1.15,1.21,1.21,56210100
2023-04-03,1.22,1.39,1.2,1.29,1.29,27442000
2023-04-04,1.29,1.33,1.21,1.22,1.22,19560300
2023-04-05,1.22,1.22,1.15,1.17,1.17,14247400
2023-04-06,1.185,1.25,1.16,1.22,1.22,12591700
2023-04-10,1.23,1.24,1.17,1.19,1.19,11369000
2023-04-11,1.19,1.2,1.08,1.09,1.09,41742700
2023-04-12,1.12,1.13,0.97,0.993,0.993,49990700
2023-04-13,1.01,1.03,0.961,0.97,0.97,24196100
2023-04-14,0.945,0.95,0.811,0.82,0.82,53795700
2023-04-17,0.842,0.915,0.84,0.909,0.909,38777800
2023-04-18,0.928,1.0,0.91,0.978,0.978,42251700
2023-04-19,0.962,0.97,0.89,0.91,0.91,24425700
