Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,14.74,15.25,14.69,15.13,15.13,23539000
2022-10-26,15.12,15.34,15.05,15.17,15.17,25303300
2022-10-27,15.29,15.61,15.13,15.38,15.38,22852800
2022-10-28,15.26,15.46,15.0,15.25,15.25,29022200
2022-10-31,15.22,15.25,14.85,14.93,14.93,20836300
2022-11-01,15.06,15.31,15.01,15.31,15.31,18429800
2022-11-02,15.28,15.43,14.9,14.93,14.93,17299900
2022-11-03,14.79,15.29,14.75,15.2,15.2,17475300
2022-11-04,15.35,15.49,15.06,15.31,15.31,18269300
2022-11-07,15.29,15.39,14.97,15.07,15.07,11970300
2022-11-08,15.07,15.17,14.83,14.93,14.93,9933100
2022-11-09,14.87,14.96,14.56,14.58,14.58,12899700
2022-11-10,15.1,15.12,14.63,14.81,14.81,25976600
2022-11-11,14.89,15.05,14.65,14.76,14.76,19054600
2022-11-14,14.73,14.74,14.42,14.46,14.46,11852300
2022-11-15,14.73,14.83,14.32,14.44,14.44,31388200
2022-11-16,14.41,14.85,14.36,14.73,14.73,14072900
2022-11-17,14.5,14.7,14.47,14.58,14.58,8521700
2022-11-18,14.75,15.03,14.7,15.02,15.02,11660800
2022-11-21,15.1,15.12,14.87,14.99,14.99,11606500
2022-11-22,15.03,15.22,14.96,15.12,15.12,7862900
2022-11-23,15.01,15.26,14.84,15.24,15.24,8911200
2022-11-25,15.25,15.39,15.19,15.37,15.37,4822600
2022-11-28,15.08,15.29,14.96,15.27,15.27,10243700
2022-11-29,15.27,15.3,15.0,15.17,15.17,10924700
2022-11-30,15.18,15.7,15.1,15.7,15.7,21056900
2022-12-01,15.7,15.91,15.6,15.62,15.62,11507400
2022-12-02,15.43,15.78,15.41,15.66,15.66,9010800
2022-12-05,15.58,15.88,15.24,15.32,15.32,22236900
2022-12-06,15.33,15.5,15.21,15.43,15.43,17058400
2022-12-07,15.42,15.74,15.33,15.57,15.57,15199600
2022-12-08,15.28,15.46,15.12,15.42,15.42,19169800
2022-12-09,15.4,15.68,15.38,15.54,15.54,18111700
2022-12-12,15.65,16.02,15.56,16.01,16.01,20611200
2022-12-13,15.79,16.01,15.69,16.01,16.01,39176600
