Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,8.98,9.02,8.96,9.011,9.011,15700
2022-10-26,9.12,9.38,9.12,9.295,9.295,20600
2022-10-27,9.35,9.44,9.29,9.395,9.395,10900
2022-10-28,9.27,9.285,9.21,9.245,9.245,4700
2022-10-31,9.09,9.121,9.04,9.07,9.07,6400
2022-11-01,9.3,9.31,9.2,9.25,9.25,13200
2022-11-02,9.26,9.33,9.157,9.157,9.157,10800
2022-11-03,8.96,9.04,8.96,9.019,9.019,12500
2022-11-04,9.28,9.43,9.23,9.42,9.42,23100
2022-11-07,9.49,9.63,9.475,9.6,9.6,20400
2022-11-08,9.64,9.8,9.601,9.766,9.766,43600
2022-11-09,9.7,9.72,9.59,9.622,9.622,12800
2022-11-10,10.04,10.192,10.03,10.154,10.154,92300
2022-11-11,10.14,10.14,9.99,10.04,10.04,26300
2022-11-14,9.85,10.02,9.85,9.97,9.97,62300
2022-11-15,10.05,10.05,9.85,9.92,9.92,75900
2022-11-16,9.91,9.94,9.8,9.828,9.828,11100
2022-11-17,9.67,9.68,9.555,9.609,9.609,14700
2022-11-18,9.64,9.67,9.57,9.587,9.587,21900
2022-11-21,9.61,9.64,9.533,9.631,9.631,11600
2022-11-22,9.746,9.8,9.67,9.74,9.74,16100
2022-11-23,9.61,9.79,9.57,9.767,9.767,32900
2022-11-25,9.64,9.64,9.57,9.608,9.608,7600
2022-11-28,9.73,9.74,9.64,9.67,9.67,13200
2022-11-29,9.68,9.83,9.68,9.801,9.801,17900
2022-11-30,10.12,10.15,10.02,10.1,10.1,26900
2022-12-01,10.2,10.27,10.13,10.2,10.2,62900
2022-12-02,9.87,9.97,9.87,9.95,9.95,14200
2022-12-05,9.9,9.9,9.75,9.76,9.76,72000
2022-12-06,9.79,9.79,9.65,9.688,9.688,13000
2022-12-07,9.83,9.95,9.79,9.823,9.823,90000
2022-12-08,9.84,9.88,9.8,9.819,9.819,9600
2022-12-09,9.85,10.05,9.79,9.99,9.99,20100
2022-12-12,9.86,9.86,9.75,9.813,9.813,21200
2022-12-13,10.21,10.21,10.05,10.125,10.125,44500
2022-12-14,10.0,10.1,10.0,10.08,10.08,29100
2022-12-15,9.91,9.96,9.81,9.865,9.865,29700
2022-12-16,9.8,9.82,9.702,9.716,9.716,11300
2022-12-19,9.77,9.77,9.56,9.58,9.58,22300
2022-12-20,9.69,9.92,9.69,9.85,9.85,15600
2022-12-21,9.78,9.849,9.75,9.783,9.783,30900
2022-12-22,9.59,9.72,9.51,9.566,9.566,23000
2022-12-23,9.97,10.04,9.88,10.01,10.01,102400
2022-12-27,9.84,10.02,9.783,10.012,10.012,38900
2022-12-28,10.0,10.0,9.855,9.88,9.88,14100
2022-12-29,10.1,10.37,10.1,10.37,10.37,73500
2022-12-30,10.39,10.5,10.33,10.5,10.5,123300
2023-01-03,10.55,10.65,10.501,10.61,10.61,113900
2023-01-04,10.6,10.65,10.48,10.58,10.58,47700
2023-01-05,10.42,10.42,10.33,10.37,10.37,50200
2023-01-06,10.46,10.71,10.44,10.68,10.68,202800
2023-01-09,10.71,10.71,10.54,10.559,10.559,70700
2023-01-10,10.585,10.6,10.5,10.6,10.6,33300
2023-01-11,10.77,10.77,10.44,10.455,10.455,95600
2023-01-12,10.48,10.505,10.36,10.45,10.45,57200
2023-01-13,10.35,10.46,10.35,10.452,10.452,30400
2023-01-17,10.34,10.34,10.16,10.185,10.185,51200
2023-01-18,10.47,10.52,10.1,10.17,10.17,48700
2023-01-19,10.01,10.16,9.89,10.141,10.141,69500
2023-01-20,10.06,10.26,10.03,10.18,10.18,48200
2023-01-23,10.07,10.255,10.07,10.24,10.24,78500
2023-01-24,10.26,10.35,10.22,10.34,10.34,18400
2023-01-25,10.18,10.19,10.11,10.165,10.165,138500
2023-01-26,10.1,10.1,9.93,9.98,9.98,47600
2023-01-27,9.85,9.92,9.76,9.89,9.89,108700
2023-01-30,9.94,9.94,9.86,9.88,9.88,26400
2023-01-31,9.82,9.95,9.77,9.89,9.89,28500
2023-02-01,9.9,9.9,9.69,9.84,9.84,64000
2023-02-02,10.08,10.096,9.87,9.99,9.99,79100
2023-02-03,9.75,9.77,9.51,9.53,9.53,77700
2023-02-06,9.53,9.59,9.44,9.497,9.497,51500
2023-02-07,9.45,9.59,9.44,9.5,9.5,28800
2023-02-08,9.58,9.61,9.47,9.47,9.47,56600
2023-02-09,9.47,9.5,9.31,9.314,9.314,64400
2023-02-10,9.38,9.42,9.23,9.24,9.24,58100
2023-02-13,9.17,9.35,9.15,9.31,9.31,23700
2023-02-14,9.19,9.39,9.1,9.115,9.115,86500
2023-02-15,9.03,9.075,8.95,8.95,8.95,89700
2023-02-16,8.93,9.07,8.9,9.02,9.02,31700
2023-02-17,8.97,9.04,8.89,8.982,8.982,36200
2023-02-21,9.1,9.32,9.1,9.24,9.24,32300
2023-02-22,9.35,9.4,9.24,9.255,9.255,44700
2023-02-23,9.36,9.36,9.21,9.266,9.266,16600
2023-02-24,9.02,9.02,8.87,8.89,8.89,49000
2023-02-27,9.24,9.266,9.14,9.186,9.186,32300
2023-02-28,9.22,9.39,9.22,9.31,9.31,25500
2023-03-01,9.39,9.44,9.312,9.346,9.346,14800
2023-03-02,9.32,9.41,9.3,9.4,9.4,27800
2023-03-03,9.47,9.595,9.4,9.56,9.56,23200
2023-03-06,9.505,9.55,9.443,9.53,9.53,19800
2023-03-07,9.34,9.35,9.08,9.116,9.116,26500
2023-03-08,9.19,9.25,9.16,9.188,9.188,14800
2023-03-09,9.33,9.36,9.201,9.25,9.25,21000
2023-03-10,9.32,9.49,9.3,9.383,9.383,48400
2023-03-13,9.71,9.81,9.635,9.79,9.79,86400
2023-03-14,9.61,9.69,9.55,9.6,9.6,113800
2023-03-15,9.4,9.455,9.32,9.384,9.384,62800
2023-03-16,9.5,9.57,9.38,9.55,9.55,27000
2023-03-17,9.6,9.62,9.415,9.51,9.51,160000
2023-03-20,9.66,9.68,9.55,9.67,9.67,25600
2023-03-21,9.68,9.68,9.42,9.51,9.51,70900
2023-03-22,9.69,9.69,9.545,9.63,9.63,25900
2023-03-23,9.62,9.67,9.6,9.65,9.65,76000
2023-03-24,9.532,9.59,9.48,9.552,9.552,147200
2023-03-27,9.49,9.56,9.49,9.53,9.53,7800
2023-03-28,9.39,9.45,9.39,9.45,9.45,15400
2023-03-29,9.38,9.5,9.32,9.443,9.443,68100
2023-03-30,9.52,9.64,9.52,9.622,9.622,22800
2023-03-31,9.58,9.7,9.58,9.688,9.688,81900
2023-04-03,9.65,9.76,9.58,9.71,9.71,33700
2023-04-04,9.83,10.01,9.75,10.01,10.01,59900
2023-04-05,9.93,9.979,9.71,9.76,9.76,78000
2023-04-06,9.79,9.87,9.75,9.81,9.81,70000
2023-04-10,9.75,9.75,9.65,9.75,9.75,15700
2023-04-11,9.77,9.82,9.722,9.745,9.745,24500
2023-04-12,9.97,10.0,9.85,9.944,9.944,23100
2023-04-13,10.09,10.3,10.09,10.27,10.27,42300
2023-04-14,10.24,10.26,10.105,10.185,10.185,35000
2023-04-17,10.26,10.284,10.19,10.22,10.22,48800
2023-04-18,10.43,10.62,10.38,10.56,10.56,72900
2023-04-19,10.54,10.68,10.49,10.67,10.67,46600
2023-04-20,10.67,10.71,10.64,10.663,10.663,34200
2023-04-21,11.0,11.04,10.86,10.97,10.97,764600
2023-04-24,10.68,10.69,10.58,10.66,10.66,35300
2023-04-25,10.54,10.669,10.51,10.654,10.654,36700
2023-04-26,10.7,10.71,10.6,10.63,10.63,10000
2023-04-27,10.5,10.575,10.47,10.534,10.534,18600
2023-04-28,10.4,10.51,10.4,10.485,10.485,28000
2023-05-01,10.55,10.58,10.27,10.284,10.284,33500
2023-05-02,10.25,10.44,10.242,10.41,10.41,25700
2023-05-03,10.35,10.35,10.22,10.242,10.242,14300
2023-05-04,10.25,10.28,10.135,10.22,10.22,25000
2023-05-05,10.22,10.359,10.2,10.332,10.332,19600
2023-05-08,10.59,10.59,10.45,10.48,10.48,26100
2023-05-09,10.54,10.81,10.54,10.773,10.773,70100
2023-05-10,10.88,10.9,10.732,10.9,10.9,21300
2023-05-11,10.85,10.87,10.63,10.64,10.64,53000
2023-05-12,10.55,10.55,10.3,10.317,10.317,38000
2023-05-15,10.35,10.47,10.34,10.41,10.41,27900
2023-05-16,10.45,10.48,10.35,10.4,10.4,32200
2023-05-17,10.46,10.53,10.435,10.47,10.47,30400
2023-05-18,10.4,10.41,10.25,10.28,10.28,34300
2023-05-19,10.39,10.46,10.3,10.42,10.42,21100
2023-05-22,10.49,10.55,10.41,10.45,10.45,16300
2023-05-23,10.4,10.4,10.25,10.27,10.27,25800
2023-05-24,10.19,10.19,9.97,10.0,10.0,38700
2023-05-25,10.0,10.05,9.95,9.998,9.998,16200
2023-05-26,10.04,10.122,9.951,9.99,9.99,22800
2023-05-30,10.05,10.05,9.9,9.97,9.97,26100
2023-05-31,9.84,9.84,9.72,9.731,9.731,36400
2023-06-01,9.79,9.86,9.74,9.83,9.83,16900
2023-06-02,9.87,9.87,9.74,9.8,9.8,13100
2023-06-05,9.92,10.1,9.92,10.045,10.045,21100
2023-06-06,10.02,10.09,10.0,10.08,10.08,5800
2023-06-07,10.1,10.17,9.93,9.947,9.947,21700
2023-06-08,9.91,9.95,9.86,9.872,9.872,16600
2023-06-09,9.83,9.9,9.76,9.858,9.858,8600
