Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,7.08,7.69,7.07,7.48,7.48,17611600
2022-10-26,7.33,8.16,7.25,7.69,7.69,12818600
2022-10-27,7.81,8.245,7.7,7.81,7.81,13766300
2022-10-28,7.8,8.059,7.585,8.01,8.01,15489900
2022-10-31,8.05,8.67,7.98,8.4,8.4,17479700
2022-11-01,8.78,9.019,8.755,8.94,8.94,12394600
2022-11-02,8.89,9.205,8.41,8.63,8.63,18197700
2022-11-03,7.45,9.34,7.24,9.34,9.34,33515300
2022-11-04,9.29,9.71,8.92,9.39,9.39,20116500
2022-11-07,9.41,9.67,8.928,9.41,9.41,10806200
2022-11-08,9.43,9.855,8.78,9.58,9.58,15198800
2022-11-09,9.38,9.445,8.392,8.565,8.565,11969900
2022-11-10,9.33,10.0,9.215,9.96,9.96,15777900
2022-11-11,9.76,10.6,9.5,10.33,10.33,15066300
2022-11-14,10.06,11.04,10.04,10.94,10.94,14722200
2022-11-15,11.28,12.017,11.15,11.84,11.84,16118200
2022-11-16,11.6,11.68,10.71,10.94,10.94,13986400
2022-11-17,10.54,11.06,10.42,10.89,10.89,11525500
2022-11-18,11.0,11.22,10.18,10.31,10.31,7597600
2022-11-21,10.03,10.21,9.49,9.76,9.76,8805300
2022-11-22,9.53,9.72,9.33,9.65,9.65,10177500
2022-11-23,9.784,10.058,9.67,10.03,10.03,7025900
2022-11-25,9.84,10.128,9.79,10.06,10.06,3608400
2022-11-28,9.98,10.94,9.94,10.14,10.14,15591400
2022-11-29,10.31,10.86,10.1,10.49,10.49,7915100
2022-11-30,10.422,11.39,10.14,11.38,11.38,11759300
2022-12-01,11.49,11.86,10.99,11.77,11.77,11875600
2022-12-02,11.5,13.33,11.41,13.3,13.3,27053100
2022-12-05,13.06,13.345,12.745,12.92,12.92,14984400
2022-12-06,12.83,12.89,11.93,12.46,12.46,12636400
2022-12-07,12.27,12.77,11.85,11.85,11.85,11052500
2022-12-08,11.92,12.669,11.7,12.57,12.57,9985200
2022-12-09,12.42,12.47,11.48,11.51,11.51,11560900
2022-12-12,11.37,11.74,11.11,11.71,11.71,8934500
2022-12-13,12.42,12.58,11.414,11.71,11.71,13802400
2022-12-14,11.55,12.276,11.52,12.16,12.16,9566500
2022-12-15,11.91,12.11,11.21,11.36,11.36,11910500
2022-12-16,11.19,11.63,10.69,10.71,10.71,12728900
2022-12-19,10.59,10.63,10.23,10.48,10.48,6284200
2022-12-20,10.315,10.849,10.18,10.45,10.45,9439100
2022-12-21,10.47,10.61,9.86,9.88,9.88,11384400
2022-12-22,9.74,9.74,8.83,9.21,9.21,10145500
2022-12-23,9.21,9.24,8.655,8.89,8.89,7653800
2022-12-27,8.79,8.805,8.12,8.14,8.14,12128600
2022-12-28,8.12,8.31,7.855,7.88,7.88,9501600
2022-12-29,8.05,8.31,7.92,8.09,8.09,8878100
2022-12-30,7.85,8.03,7.68,7.94,7.94,10481500
2023-01-03,8.17,8.45,7.89,8.12,8.12,11626300
2023-01-04,8.26,8.86,7.985,8.84,8.84,9931500
2023-01-05,8.58,8.73,8.31,8.58,8.58,7781200
2023-01-06,8.56,9.025,8.31,8.92,8.92,9836800
2023-01-09,9.09,9.525,9.02,9.33,9.33,11044700
