Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,116.57,119.940002,116.230003,119.169998,116.884346,6205100
2022-10-26,118.040001,120.739998,116.160004,118.110001,115.844681,7342300
2022-10-27,119.32,120.599998,114.379997,114.699997,112.500084,8937200
2022-10-28,114.169998,119.449997,112.330002,119.209999,116.923584,9418700
2022-10-31,118.129997,118.379997,115.400002,117.660004,115.403313,6870800
2022-11-01,119.739998,120.629997,116.75,117.330002,115.079643,5749100
2022-11-02,118.709999,118.790001,112.25,112.5,110.342285,13936300
2022-11-03,104.379997,106.5,101.93,103.879997,101.887604,24706100
2022-11-04,106.610001,107.5,104.330002,106.690002,104.643715,11977900
2022-11-07,107.480003,110.279999,106.260002,110.089996,107.978508,7570800
2022-11-08,111.57,114.889999,109.919998,112.540001,110.381516,9383600
2022-11-09,111.459999,113.510002,110.269997,110.43,108.311981,9581300
2022-11-10,115.910004,121.0,114.529999,120.68,118.365387,11673200
2022-11-11,118.989998,122.160004,118.989998,121.43,119.101006,9433800
2022-11-14,120.739998,123.209999,120.260002,120.800003,118.483093,6971000
2022-11-15,125.650002,128.130005,123.419998,126.019997,123.602974,12470200
2022-11-16,123.199997,123.839996,119.959999,120.730003,118.414429,9561700
2022-11-17,118.949997,123.120003,118.709999,122.860001,120.503578,7273700
2022-11-18,124.040001,124.489998,122.129997,123.849998,121.474594,6436600
2022-11-21,121.089996,122.5,120.099998,120.199997,117.894592,8204200
2022-11-22,120.839996,123.790001,120.029999,123.650002,121.278435,7010200
2022-11-23,123.540001,127.040001,123.290001,125.150002,122.749657,5481500
2022-11-25,124.860001,125.360001,123.400002,123.449997,121.08226,3153800
2022-11-28,122.160004,123.449997,118.849998,119.540001,117.247253,7087500
2022-11-29,120.139999,121.370003,118.32,118.379997,116.109497,6277600
2022-11-30,118.75,126.599998,118.07,126.489998,124.85498,12776700
2022-12-01,126.720001,128.199997,125.68,126.809998,125.170845,7924800
2022-12-02,123.709999,125.82,123.120003,125.660004,124.035713,6122200
2022-12-05,124.580002,125.470001,122.43,123.300003,121.706215,6091600
2022-12-06,122.82,123.0,118.57,119.779999,118.231712,5968000
2022-12-07,118.5,120.32,117.760002,118.209999,116.682007,5427100
2022-12-08,118.980003,122.349998,118.18,121.75,120.176254,7347600
2022-12-09,120.410004,121.400002,118.849998,119.050003,117.511154,6036000
2022-12-12,116.059998,121.25,116.059998,121.209999,119.643227,9008400
2022-12-13,126.980003,127.949997,121.82,123.489998,121.893761,9712700
2022-12-14,124.230003,126.580002,120.099998,121.709999,120.136772,9444100
2022-12-15,120.25,120.519997,116.080002,116.639999,115.132301,10207800
2022-12-16,116.080002,116.660004,113.349998,114.529999,113.049576,12733900
2022-12-19,114.010002,115.160004,111.510002,112.610001,111.154396,7720200
2022-12-20,111.400002,112.779999,111.099998,112.099998,110.650986,6260200
2022-12-21,112.760002,114.959999,112.690002,114.589996,113.108803,5843800
2022-12-22,112.57,112.589996,107.379997,110.68,109.249344,12051400
2022-12-23,109.699997,110.919998,108.209999,110.839996,109.407272,5356700
2022-12-27,109.75,110.690002,108.889999,109.459999,108.045113,6158100
2022-12-28,108.870003,110.269997,106.82,106.970001,105.587296,5395600
2022-12-29,108.349998,110.660004,108.110001,109.839996,108.420197,6668600
2022-12-30,107.970001,110.059998,107.220001,109.940002,108.518913,5642300
2023-01-03,111.349998,111.739998,107.129997,107.199997,105.814316,8110400
2023-01-04,109.800003,112.230003,108.809998,111.529999,110.088356,7614200
2023-01-05,109.93,110.919998,109.129997,109.400002,107.985893,7546000
2023-01-06,110.959999,115.980003,110.050003,115.339996,113.849106,10259300
2023-01-09,116.730003,118.849998,113.540001,114.610001,113.128548,10291800
2023-01-10,114.019997,116.970001,113.720001,116.910004,115.398811,6384800
2023-01-11,117.440002,118.5,115.169998,118.389999,116.859688,7374400
2023-01-12,119.239998,122.379997,117.650002,121.589996,120.018318,9527600
2023-01-13,119.82,121.419998,119.720001,120.239998,118.685768,8040400
2023-01-17,119.739998,121.32,119.019997,120.279999,118.72525,6179500
2023-01-18,121.620003,123.989998,121.010002,122.040001,120.462502,10960400
2023-01-19,121.059998,121.099998,117.419998,117.580002,116.06015,8716200
2023-01-20,118.419998,122.959999,117.339996,122.900002,121.311394,8895000
