Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,3.975,4.31,3.96,4.2,4.2,5095900
2022-10-26,4.1,4.47,4.05,4.38,4.38,5275500
2022-10-27,4.35,4.545,4.3,4.43,4.43,3651500
2022-10-28,4.4,4.6,4.27,4.57,4.57,4412100
2022-10-31,4.5,5.065,4.499,4.81,4.81,4248400
2022-11-01,5.0,5.125,4.62,4.76,4.76,4400400
2022-11-02,4.69,4.75,4.27,4.29,4.29,4857300
2022-11-03,4.22,4.42,4.19,4.29,4.29,3884100
2022-11-04,4.39,4.47,3.93,4.02,4.02,5525900
2022-11-07,3.8,3.8,3.315,3.63,3.63,11961500
2022-11-08,3.61,3.925,3.5,3.72,3.72,6128600
2022-11-09,3.58,3.66,3.08,3.27,3.27,10677100
2022-11-10,3.97,4.71,3.91,4.31,4.31,23134900
2022-11-11,4.27,5.24,4.23,5.23,5.23,12056800
2022-11-14,5.19,5.25,4.73,4.75,4.75,9061600
2022-11-15,4.95,5.15,4.7,4.84,4.84,4940500
2022-11-16,4.62,4.98,4.49,4.82,4.82,5019100
2022-11-17,4.66,5.11,4.55,5.0,5.0,4299900
2022-11-18,5.15,5.33,4.88,5.09,5.09,4724900
2022-11-21,5.075,5.075,4.47,4.61,4.61,4764300
2022-11-22,4.61,4.86,4.471,4.84,4.84,3519900
2022-11-23,4.85,5.21,4.76,5.17,5.17,3373500
2022-11-25,5.05,5.25,4.995,5.23,5.23,1585500
2022-11-28,5.11,5.54,5.04,5.05,5.05,3185600
2022-11-29,5.12,5.24,4.93,5.0,5.0,2172400
2022-11-30,4.99,5.43,4.81,5.36,5.36,5420100
2022-12-01,5.4,5.6,5.2,5.51,5.51,2771200
2022-12-02,5.25,5.67,5.18,5.62,5.62,3113300
2022-12-05,5.63,6.01,5.495,5.53,5.53,2871800
2022-12-06,5.51,5.54,4.97,5.0,5.0,2854200
2022-12-07,5.01,5.038,4.75,4.76,4.76,1860600
2022-12-08,4.78,5.04,4.6,4.73,4.73,2312900
2022-12-09,4.71,4.91,4.54,4.78,4.78,2159500
2022-12-12,4.79,5.13,4.66,5.12,5.12,3528900
2022-12-13,5.6,5.8,4.99,5.18,5.18,4138300
2022-12-14,5.16,5.44,5.105,5.25,5.25,2437500
2022-12-15,5.07,5.12,4.8,4.96,4.96,2540600
2022-12-16,4.94,4.99,4.78,4.93,4.93,2761400
2022-12-19,4.92,4.98,4.73,4.95,4.95,2980900
2022-12-20,4.89,5.03,4.74,4.79,4.79,2750500
2022-12-21,4.73,5.085,4.66,4.73,4.73,2852200
2022-12-22,4.66,4.665,4.13,4.4,4.4,4833200
2022-12-23,4.35,4.375,4.175,4.3,4.3,2058800
2022-12-27,4.27,4.27,3.875,3.9,3.9,3278900
2022-12-28,3.87,4.0,3.78,3.78,3.78,3699300
2022-12-29,3.82,4.29,3.74,4.26,4.26,3625100
2022-12-30,4.125,4.27,4.08,4.24,4.24,2532200
2023-01-03,4.35,4.58,4.23,4.31,4.31,2365300
2023-01-04,4.42,4.82,4.35,4.77,4.77,2845700
2023-01-05,4.715,4.715,4.44,4.56,4.56,2723800
2023-01-06,4.6,4.785,4.44,4.76,4.76,2134000
2023-01-09,4.92,5.45,4.87,5.15,5.15,4954300
2023-01-10,5.11,5.515,5.04,5.49,5.49,2835500
2023-01-11,5.56,5.825,5.5,5.8,5.8,3133800
2023-01-12,5.85,6.175,5.715,6.13,6.13,4323900
2023-01-13,5.98,6.48,5.88,6.15,6.15,3339100
2023-01-17,6.19,6.585,6.02,6.3,6.3,4981600
2023-01-18,6.41,6.48,5.63,5.75,5.75,3895300
2023-01-19,5.62,5.72,5.28,5.62,5.62,3004400
2023-01-20,5.72,6.25,5.58,6.18,6.18,2968100
2023-01-23,6.19,6.55,6.12,6.29,6.29,2808100
2023-01-24,6.18,6.59,6.14,6.18,6.18,2700800
2023-01-25,5.78,5.97,5.19,5.655,5.655,7319000
2023-01-26,5.88,6.275,5.71,6.08,6.08,5850000
2023-01-27,6.035,7.469,6.01,7.28,7.28,9588900
2023-01-30,7.22,7.52,7.02,7.22,7.22,5180200
2023-01-31,7.27,7.6,7.02,7.48,7.48,4950800
2023-02-01,7.46,8.72,7.372,8.67,8.67,5960400
2023-02-02,9.23,10.7,8.93,9.78,9.78,13236800
2023-02-03,9.0,10.59,8.75,9.45,9.45,7992500
2023-02-06,9.31,9.93,9.12,9.88,9.88,4267200
2023-02-07,9.79,9.88,8.605,9.15,9.15,6122400
2023-02-08,9.13,9.4,8.78,8.86,8.86,3523100
2023-02-09,9.0,9.24,8.27,8.29,8.29,3889800
2023-02-10,8.12,8.395,7.94,8.16,8.16,2993700
2023-02-13,8.2,9.05,8.045,8.4,8.4,4640500
2023-02-14,8.24,8.86,8.09,8.66,8.66,4048500
2023-02-15,8.63,9.53,8.55,9.52,9.52,4301400
2023-02-16,9.29,9.885,9.01,9.01,9.01,7529800
2023-02-17,8.745,9.34,8.24,8.42,8.42,8021600
2023-02-21,8.28,9.125,8.17,8.34,8.34,5704800
2023-02-22,8.36,8.898,8.19,8.61,8.61,5386600
2023-02-23,8.81,8.98,7.94,8.15,8.15,4486400
2023-02-24,7.76,7.835,7.32,7.61,7.61,4247500
2023-02-27,7.97,7.97,7.47,7.56,7.56,2919100
2023-02-28,7.51,7.71,7.34,7.41,7.41,3558100
2023-03-01,7.41,7.452,7.08,7.2,7.2,3242600
2023-03-02,6.98,7.28,6.83,7.24,7.24,2800100
2023-03-03,7.34,7.9,7.34,7.87,7.87,2984400
2023-03-06,7.93,8.19,7.48,7.49,7.49,2553800
2023-03-07,7.444,7.627,7.28,7.3,7.3,1796400
2023-03-08,7.23,7.56,7.04,7.56,7.56,1601700
2023-03-09,7.59,7.755,6.92,6.98,6.98,2612600
2023-03-10,6.96,6.96,6.488,6.72,6.72,4032200
2023-03-13,6.59,8.01,6.475,7.66,7.66,7975800
2023-03-14,7.99,8.23,7.58,7.77,7.77,3984300
2023-03-15,7.65,8.48,7.525,8.45,8.45,4004400
2023-03-16,8.43,8.82,8.27,8.74,8.74,3034900
2023-03-17,8.75,8.81,8.22,8.24,8.24,3411000
2023-03-20,8.14,8.32,7.78,7.97,7.97,3189800
2023-03-21,8.09,8.45,7.955,8.43,8.43,2522600
2023-03-22,8.4,8.405,7.71,7.71,7.71,2633300
2023-03-23,7.86,8.828,7.812,8.29,8.29,3710700
2023-03-24,8.23,8.33,7.77,8.0,8.0,3434600
2023-03-27,8.03,8.35,7.7,8.27,8.27,3296100
2023-03-28,8.18,8.335,7.78,7.85,7.85,1971100
2023-03-29,8.04,8.32,7.965,8.26,8.26,2101900
2023-03-30,8.45,8.75,8.09,8.16,8.16,2444900
2023-03-31,8.28,9.145,8.24,9.06,9.06,4581700
2023-04-03,8.89,9.32,8.83,9.14,9.14,2921200
2023-04-04,9.19,9.27,8.79,8.83,8.83,2469200
2023-04-05,8.75,8.75,8.205,8.49,8.49,2438100
2023-04-06,8.47,8.925,8.3,8.87,8.87,1655700
2023-04-10,8.72,8.995,8.555,8.8,8.8,1463800
2023-04-11,8.88,9.33,8.8,9.12,9.12,4202300
2023-04-12,9.48,9.54,8.65,8.67,8.67,2569600
2023-04-13,8.81,9.28,8.81,9.07,9.07,2048200
2023-04-14,9.07,9.16,8.6,8.88,8.88,2176400
2023-04-17,8.94,9.25,8.78,9.2,9.2,1835300
2023-04-18,9.27,9.29,8.9,9.13,9.13,1757300
2023-04-19,8.93,9.245,8.927,9.15,9.15,1266900
2023-04-20,9.0,9.465,8.66,8.67,8.67,3249800
2023-04-21,8.67,8.8,8.3,8.71,8.71,2080800
2023-04-24,8.71,8.78,8.23,8.46,8.46,2046700
2023-04-25,8.34,8.39,7.4,7.41,7.41,3581300
2023-04-26,7.59,7.595,7.0,7.04,7.04,3188500
2023-04-27,7.21,7.36,6.98,7.17,7.17,2469700
2023-04-28,7.12,7.49,7.02,7.45,7.45,2089200
2023-05-01,7.45,7.615,7.212,7.41,7.41,2534800
2023-05-02,7.33,7.35,6.76,6.85,6.85,3536400
2023-05-03,6.85,7.26,6.815,6.89,6.89,3698700
2023-05-04,6.89,7.175,6.79,7.08,7.08,3386000
2023-05-05,7.5,9.812,7.483,9.43,9.43,12583700
2023-05-08,9.43,10.08,9.235,10.02,10.02,6722400
2023-05-09,9.88,10.145,9.72,9.73,9.73,3858000
2023-05-10,10.05,11.297,10.041,11.17,11.17,6069900
2023-05-11,11.18,11.54,10.96,11.1,11.1,3633600
2023-05-12,11.08,11.155,10.357,10.64,10.64,2651600
2023-05-15,10.62,10.735,10.25,10.39,10.39,2172400
2023-05-16,10.21,10.305,9.95,10.13,10.13,2125500
2023-05-17,10.04,10.58,9.94,10.53,10.53,2335500
2023-05-18,10.53,10.85,10.335,10.77,10.77,2497400
2023-05-19,11.0,11.149,10.27,10.32,10.32,2489600
2023-05-22,10.32,10.789,10.21,10.53,10.53,2065800
2023-05-23,10.46,10.95,9.78,9.8,9.8,2860300
2023-05-24,9.51,9.83,9.28,9.81,9.81,2596200
2023-05-25,9.9,9.91,9.44,9.55,9.55,1724200
2023-05-26,9.65,9.9,9.25,9.27,9.27,2027900
2023-05-30,9.655,9.67,8.832,9.21,9.21,2500300
2023-05-31,9.09,9.855,9.045,9.79,9.79,3100500
2023-06-01,9.64,10.37,9.51,10.06,10.06,2320100
2023-06-02,10.39,10.66,9.936,10.64,10.64,2082600
2023-06-05,10.66,10.68,10.3,10.34,10.34,1552400
2023-06-06,10.29,10.97,10.18,10.64,10.64,2303200
2023-06-07,10.8,10.97,10.37,10.41,10.41,2241300
2023-06-08,10.47,10.92,10.21,10.88,10.88,1916900
2023-06-09,10.95,11.08,10.37,10.45,10.45,1634100
2023-06-12,10.6,10.929,10.47,10.57,10.57,1627400
2023-06-13,10.7,10.82,10.44,10.66,10.66,2122900
2023-06-14,10.75,10.769,10.21,10.52,10.52,1741400
2023-06-15,10.51,10.89,10.26,10.89,10.89,1998700
2023-06-16,11.06,11.4,10.84,10.85,10.85,2699900
2023-06-20,10.73,11.18,10.43,10.64,10.64,1961700
2023-06-21,10.61,10.61,9.69,10.15,10.15,2765100
2023-06-22,10.08,10.7,9.99,10.63,10.63,2340600
2023-06-23,10.43,10.61,10.11,10.32,10.32,2972100
2023-06-26,10.15,11.12,10.15,10.87,10.87,2831000
2023-06-27,10.99,12.05,10.82,12.04,12.04,3426400
2023-06-28,11.98,13.92,11.87,13.87,13.87,7354100
2023-06-29,13.87,14.38,13.15,13.25,13.25,4718900
2023-06-30,13.45,13.5,12.39,12.42,12.42,3291900
2023-07-03,12.59,13.41,12.43,13.37,13.37,1780800
2023-07-05,13.245,13.245,12.38,12.56,12.56,2532700
2023-07-06,12.127,12.16,11.588,11.915,11.915,2830200
2023-07-07,11.92,12.52,11.92,12.06,12.06,2724600
2023-07-10,11.88,12.669,11.85,12.54,12.54,2829300
2023-07-11,12.78,15.62,12.75,15.54,15.54,12199700
2023-07-12,15.25,15.921,14.581,15.59,15.59,8181800
2023-07-13,15.79,17.370001,15.57,17.01,17.01,8344700
2023-07-14,17.264999,17.68,16.120001,16.59,16.59,5633100
2023-07-17,16.620001,16.82,16.190001,16.559999,16.559999,2509400
2023-07-18,16.57,16.969999,15.653,15.94,15.94,3726700
2023-07-19,15.57,15.88,14.3,14.98,14.98,5879100
2023-07-20,14.82,15.01,14.16,15.0,15.0,3911400
2023-07-21,15.07,15.1,13.825,14.04,14.04,4260700
