Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,52.73,53.009998,52.48,52.810001,50.823975,3074376
2022-10-26,52.59,53.740002,52.59,53.310001,51.305172,5667610
2022-10-27,55.869999,56.730701,55.849998,56.009998,53.903629,7316421
2022-10-28,56.48,56.68,55.830002,56.18,54.067242,5940751
2022-10-31,55.099998,55.994999,54.875,55.630001,53.537922,5838825
2022-11-01,56.919998,56.950001,55.799999,55.84,53.740028,4792770
2022-11-02,55.950001,56.044998,54.84,54.91,52.844997,3919461
2022-11-03,54.779999,55.869999,54.598999,55.73,53.634159,3795150
2022-11-04,57.279999,57.665001,56.66,57.060001,54.914146,6535189
2022-11-07,57.279999,57.439999,56.84,56.860001,54.721668,4806178
2022-11-08,56.119999,56.52,55.84,56.209999,54.096111,4022750
2022-11-09,54.299999,54.52,53.035,53.110001,51.571434,5612875
2022-11-10,54.490002,54.740002,53.560001,53.880001,52.319126,5155983
2022-11-11,55.59,55.994999,55.174999,55.77,54.154373,5480342
2022-11-14,54.970001,55.41,54.66,54.66,53.07653,3393581
2022-11-15,56.27,56.669998,55.950001,56.279999,54.649601,4948655
2022-11-16,56.619999,56.73,55.6689,55.82,54.202927,4272507
2022-11-17,55.709999,56.75,55.509998,56.689999,55.047722,4534539
2022-11-18,55.869999,56.145,55.139999,55.939999,54.319443,3367940
2022-11-21,54.709999,54.830002,53.510101,54.689999,53.105659,4371219
2022-11-22,56.0,56.950001,55.720001,56.82,55.173954,3419207
2022-11-23,56.32,57.0,56.110001,56.830002,55.183666,3203577
2022-11-25,57.0,57.540001,56.779999,56.82,55.173954,1500910
2022-11-28,56.490002,57.055,56.255001,56.490002,54.853516,3806189
2022-11-29,57.27,58.029999,57.27,57.619999,55.950779,4289617
2022-11-30,58.470001,58.740002,57.856201,58.470001,56.776157,5377406
2022-12-01,58.689999,58.77,57.91,58.049999,56.368324,4084642
2022-12-02,57.720001,58.209999,57.485001,57.720001,56.047886,3510813
2022-12-05,58.77,58.970001,57.105,57.400002,55.737156,5917006
2022-12-06,57.52,58.029999,56.509998,56.68,55.03801,6428901
2022-12-07,56.959999,57.32,56.349998,56.349998,54.717567,5444943
2022-12-08,57.209999,57.435001,56.369999,56.59,54.950615,4571387
2022-12-09,56.27,56.779999,55.610001,55.610001,53.999008,4283357
2022-12-12,56.060001,56.564999,55.880001,56.360001,54.727283,4491861
2022-12-13,57.369999,57.744999,57.150002,57.380001,55.717731,5091499
2022-12-14,57.380001,57.48,56.540001,56.759998,55.115688,4325588
2022-12-15,56.759998,56.900002,55.779999,56.150002,54.523369,6087661
