Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,29.16,30.16,29.15,29.83,29.83,19598800
2022-10-26,29.200001,30.870001,28.549999,29.059999,29.059999,29275000
2022-10-27,31.030001,34.599998,30.9,34.099998,34.099998,85884000
2022-10-28,33.84,34.779999,32.580002,34.189999,34.189999,39189500
2022-10-31,34.07,36.16,33.900002,34.23,34.23,46021100
2022-11-01,35.380001,36.400002,34.720001,34.790001,34.790001,32527700
2022-11-02,34.93,36.060001,33.505001,33.509998,33.509998,34905000
2022-11-03,32.919998,35.155998,32.830002,33.740002,33.740002,23395000
2022-11-04,34.73,35.0,31.33,32.150002,32.150002,30310900
2022-11-07,32.610001,32.93,31.459999,32.240002,32.240002,16129000
2022-11-08,32.57,33.25,31.66,32.799999,32.799999,18576000
2022-11-09,32.029999,32.389999,30.440001,30.9,30.9,17640800
2022-11-10,33.900002,36.599998,33.450001,36.509998,36.509998,32449100
2022-11-11,36.610001,40.921001,36.130001,39.439999,39.439999,39173400
2022-11-14,39.049999,39.310001,37.919998,38.400002,38.400002,17931100
2022-11-15,40.41,41.73,39.959999,40.02,40.02,26589100
2022-11-16,39.07,39.779999,37.860001,38.509998,38.509998,17334200
2022-11-17,37.48,38.27,36.84,37.720001,37.720001,16916600
2022-11-18,38.290001,38.369999,36.080002,36.59,36.59,14746300
2022-11-21,35.77,36.091,34.66,35.209999,35.209999,15565600
2022-11-22,35.119999,35.380001,34.380001,35.279999,35.279999,12669100
2022-11-23,35.369999,37.040001,35.150002,36.77,36.77,15970700
2022-11-25,36.73,37.009998,36.040001,36.790001,36.790001,9401500
2022-11-28,38.799999,40.150002,37.536999,38.029999,38.029999,42560300
2022-11-29,38.48,39.959999,36.73,37.150002,37.150002,29118200
2022-11-30,37.419998,40.900002,37.09,40.880001,40.880001,30671800
2022-12-01,41.450001,43.740002,41.299999,43.400002,43.400002,33691900
2022-12-02,42.150002,45.060001,42.009998,43.060001,43.060001,30820900
2022-12-05,42.77,43.700001,40.41,40.790001,40.790001,22014000
2022-12-06,40.57,40.849998,38.57,38.970001,38.970001,19295200
2022-12-07,38.080002,38.990002,37.720001,38.490002,38.490002,23536600
2022-12-08,38.07,39.150002,36.560001,38.639999,38.639999,24816600
2022-12-09,38.450001,40.355,38.325001,38.380001,38.380001,21469400
2022-12-12,37.919998,38.68,37.490002,38.380001,38.380001,20040700
2022-12-13,41.810001,42.700001,38.566002,38.779999,38.779999,26830000
2022-12-14,38.400002,39.450001,37.694,38.240002,38.240002,21245500
2022-12-15,37.290001,37.799999,36.049999,36.389999,36.389999,17448200
2022-12-16,36.09,37.110001,35.650002,36.09,36.09,16908800
2022-12-19,36.099998,36.299999,35.222,35.5,35.5,14397600
2022-12-20,34.900002,37.099998,34.779999,35.990002,35.990002,16742400
2022-12-21,36.18,36.939999,35.290001,36.189999,36.189999,13260500
2022-12-22,35.599998,35.599998,33.389999,34.68,34.68,16498400
2022-12-23,34.200001,34.549999,33.105,33.709999,33.709999,13112800
2022-12-27,33.060001,33.634998,32.349998,33.389999,33.389999,12400900
2022-12-28,33.209999,33.700001,32.395,32.639999,32.639999,13332100
2022-12-29,33.18,35.380001,32.93,35.099998,35.099998,17645700
2022-12-30,34.32,35.146,34.150002,34.709999,34.709999,13272900
2023-01-03,35.689999,36.48,34.650002,35.68,35.68,18847000
2023-01-04,36.290001,37.77,35.709999,37.540001,37.540001,20072500
2023-01-05,36.549999,36.790001,35.360001,35.950001,35.950001,16462100
2023-01-06,36.110001,37.25,34.970001,36.849998,36.849998,15951900
2023-01-09,37.700001,38.490002,37.16,37.189999,37.189999,17446600
2023-01-10,36.970001,37.400002,36.040001,36.5,36.5,20460400
2023-01-11,36.639999,37.349998,35.779999,36.439999,36.439999,19921800
2023-01-12,37.290001,37.400002,35.599998,36.759998,36.759998,19977600
2023-01-13,35.799999,39.07,35.669998,38.889999,38.889999,24097400
2023-01-17,39.189999,40.299999,38.049999,39.98,39.98,20077200
2023-01-18,40.380001,41.029999,39.095001,39.169998,39.169998,19447800
2023-01-19,38.419998,39.470001,37.91,38.060001,38.060001,15311900
2023-01-20,38.580002,40.48,38.139999,40.48,40.48,15073100
2023-01-23,42.110001,44.110001,41.900002,44.040001,44.040001,29496300
2023-01-24,45.5,45.5,42.0,42.689999,42.689999,16032500
2023-01-25,44.959999,48.27,44.34,47.330002,47.330002,59097900
2023-01-26,48.700001,49.080002,46.439999,48.330002,48.330002,28958200
2023-01-27,47.75,50.169998,47.619999,50.080002,50.080002,24480200
2023-01-30,49.580002,49.650002,47.049999,47.189999,47.189999,18872900
2023-01-31,47.880001,49.744999,47.73,49.27,49.27,21531600
2023-02-01,49.369999,50.84,48.279999,50.259998,50.259998,26964600
2023-02-02,52.740002,54.490002,52.330002,53.630001,53.630001,26663500
2023-02-03,51.27,54.665001,51.0,52.93,52.93,21572000
2023-02-06,51.669998,52.889999,51.400002,51.57,51.57,13585900
