Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,4.45,4.71,4.441,4.62,4.62,4429300
2022-10-26,4.56,4.71,4.44,4.46,4.46,4959400
2022-10-27,4.52,4.725,4.485,4.51,4.51,4082200
2022-10-28,4.54,4.67,4.41,4.66,4.66,4212100
2022-10-31,4.64,4.705,4.573,4.62,4.62,3823400
2022-11-01,4.79,5.008,4.74,4.79,4.79,5149100
2022-11-02,4.81,4.9,4.53,4.53,4.53,5418100
2022-11-03,4.51,4.64,4.41,4.58,4.58,6022400
2022-11-04,4.8,4.925,4.61,4.92,4.92,6598600
2022-11-07,4.82,5.255,4.81,5.21,5.21,8079200
2022-11-08,5.2,5.25,4.87,5.0,5.0,8030800
2022-11-09,4.92,5.205,4.71,4.73,4.73,5720500
2022-11-10,5.01,5.3,5.01,5.29,5.29,8101100
2022-11-11,5.26,5.575,5.24,5.5,5.5,6453500
2022-11-14,5.43,5.6,5.31,5.46,5.46,5566300
2022-11-15,5.61,5.668,5.37,5.49,5.49,7513000
2022-11-16,5.39,5.43,5.23,5.36,5.36,3031900
2022-11-17,5.22,5.36,5.1,5.31,5.31,3054700
2022-11-18,5.41,5.5,5.26,5.3,5.3,3108800
2022-11-21,5.25,5.25,5.0,5.04,5.04,3692100
2022-11-22,5.07,5.1,4.955,5.02,5.02,2588500
2022-11-23,5.04,5.2,5.01,5.14,5.14,3326700
2022-11-25,5.12,5.125,5.05,5.1,5.1,1199700
2022-11-28,5.0,5.1,4.72,4.76,4.76,4516900
2022-11-29,4.8,5.025,4.8,4.91,4.91,4834600
2022-11-30,4.95,5.14,4.73,5.09,5.09,4917600
2022-12-01,5.15,5.33,4.935,5.2,5.2,5164700
2022-12-02,5.01,5.17,5.01,5.14,5.14,3255000
2022-12-05,5.1,5.38,5.035,5.12,5.12,5716300
2022-12-06,5.13,5.14,4.57,4.62,4.62,8114800
2022-12-07,4.61,4.7,4.53,4.58,4.58,4096800
2022-12-08,4.65,4.76,4.47,4.68,4.68,3860500
2022-12-09,4.63,4.86,4.61,4.65,4.65,5301500
2022-12-12,4.65,4.86,4.6,4.77,4.77,4927500
2022-12-13,4.98,5.07,4.63,4.71,4.71,6438500
2022-12-14,4.72,4.755,4.57,4.58,4.58,4873900
2022-12-15,4.48,4.515,4.22,4.27,4.27,7786700
2022-12-16,4.21,4.3,4.02,4.11,4.11,16596000
2022-12-19,4.14,4.15,3.76,3.8,3.8,7138100
2022-12-20,3.77,3.91,3.635,3.67,3.67,6212100
2022-12-21,3.75,3.81,3.67,3.76,3.76,4572200
2022-12-22,3.72,3.73,3.495,3.7,3.7,6271300
2022-12-23,3.73,3.76,3.55,3.65,3.65,5336200
2022-12-27,3.62,3.62,3.28,3.29,3.29,7591400
2022-12-28,3.32,3.38,3.25,3.32,3.32,6130000
2022-12-29,3.34,3.5,3.245,3.42,3.42,6894000
2022-12-30,3.38,3.49,3.33,3.48,3.48,6361500
2023-01-03,3.62,3.84,3.43,3.49,3.49,7668000
2023-01-04,3.51,3.678,3.48,3.64,3.64,4858900
2023-01-05,3.6,3.67,3.51,3.66,3.66,5262900
2023-01-06,3.63,3.7,3.53,3.69,3.69,4090700
2023-01-09,3.75,4.045,3.75,3.91,3.91,10357700
2023-01-10,3.86,4.05,3.79,4.03,4.03,7897900
2023-01-11,4.07,4.4,4.0,4.29,4.29,8752400
2023-01-12,4.35,4.63,4.213,4.62,4.62,15112000
2023-01-13,5.23,5.59,4.905,5.19,5.19,46228800
2023-01-17,5.2,5.67,5.032,5.59,5.59,20166100
2023-01-18,5.65,5.72,4.85,4.91,4.91,18005300
2023-01-19,4.81,5.07,4.71,4.86,4.86,11085000
2023-01-20,4.95,5.245,4.85,5.19,5.19,10409400
2023-01-23,5.18,5.41,5.135,5.31,5.31,9572900
2023-01-24,5.28,5.64,5.2,5.32,5.32,9849500
2023-01-25,5.19,5.38,5.09,5.36,5.36,5534900
2023-01-26,5.5,5.59,5.22,5.38,5.38,6466500
2023-01-27,5.33,5.875,5.32,5.71,5.71,11037200
2023-01-30,5.58,5.71,5.36,5.38,5.38,7478100
2023-01-31,5.38,5.62,5.36,5.52,5.52,6071500
2023-02-01,5.48,5.7,5.37,5.62,5.62,7732500
2023-02-02,5.86,6.54,5.86,6.34,6.34,20903000
2023-02-03,6.09,6.45,5.93,6.08,6.08,13075900
2023-02-06,6.25,6.61,5.88,5.94,5.94,15509600
2023-02-07,5.94,6.05,5.71,5.95,5.95,11045000
2023-02-08,5.91,5.94,5.55,5.57,5.57,7508500
2023-02-09,5.64,5.72,5.13,5.18,5.18,9413900
2023-02-10,5.07,5.16,4.925,4.98,4.98,7658300
2023-02-13,5.0,5.25,4.92,5.17,5.17,7011900
2023-02-14,5.07,5.34,4.97,5.29,5.29,7443800
2023-02-15,5.21,6.03,5.2,6.01,6.01,13380300
2023-02-16,6.04,6.31,5.84,5.98,5.98,16184100
2023-02-17,6.1,6.42,5.895,6.37,6.37,12492400
2023-02-21,6.09,6.18,5.73,5.75,5.75,9965100
2023-02-22,5.75,5.95,5.65,5.79,5.79,7767000
2023-02-23,5.88,5.9,5.51,5.76,5.76,8534300
2023-02-24,5.6,5.64,5.46,5.48,5.48,5737800
2023-02-27,5.53,5.67,5.46,5.5,5.5,8675600
2023-02-28,5.51,5.8,5.36,5.74,5.74,9911700
2023-03-01,5.55,5.552,4.7,4.73,4.73,18461800
2023-03-02,4.66,5.16,4.65,5.14,5.14,11764600
2023-03-03,5.13,5.55,4.99,5.5,5.5,11242000
2023-03-06,5.58,5.8,5.32,5.41,5.41,7699800
2023-03-07,5.33,5.52,5.19,5.31,5.31,6220800
2023-03-08,5.28,5.47,5.2,5.41,5.41,5426800
2023-03-09,5.45,5.57,5.08,5.1,5.1,7162000
2023-03-10,5.08,5.175,4.81,4.98,4.98,8709400
2023-03-13,4.85,5.24,4.76,5.08,5.08,7759700
2023-03-14,5.2,5.25,4.92,5.0,5.0,5673800
2023-03-15,4.91,4.91,4.53,4.63,4.63,9286200
2023-03-16,4.5,4.66,4.22,4.59,4.59,11245100
2023-03-17,4.56,4.56,4.12,4.16,4.16,11203300
2023-03-20,4.12,4.22,4.045,4.1,4.1,6039800
2023-03-21,4.2,4.27,4.07,4.12,4.12,7727200
2023-03-22,4.18,4.232,3.89,3.91,3.91,8822700
2023-03-23,3.99,4.22,3.94,4.03,4.03,8997600
2023-03-24,3.96,4.127,3.928,4.1,4.1,5208400
2023-03-27,4.11,4.13,3.945,4.06,4.06,5396600
2023-03-28,4.04,4.09,3.815,3.9,3.9,6937600
2023-03-29,3.93,4.05,3.865,4.04,4.04,5544400
2023-03-30,4.1,4.25,4.02,4.06,4.06,8197200
2023-03-31,3.96,4.17,3.92,4.05,4.05,8364700
2023-04-03,4.03,4.09,3.73,3.88,3.88,9871200
2023-04-04,3.73,3.75,3.33,3.43,3.43,20661200
2023-04-05,3.38,3.45,3.12,3.19,3.19,11393500
2023-04-06,3.14,3.19,2.98,3.15,3.15,13672100
2023-04-10,3.1,3.51,3.09,3.46,3.46,13654300
2023-04-11,3.45,3.615,3.44,3.58,3.58,10081000
2023-04-12,3.6,3.68,3.25,3.27,3.27,8366700
2023-04-13,3.35,3.48,3.3,3.45,3.45,7055900
2023-04-14,3.41,3.45,3.2,3.33,3.33,6270200
2023-04-17,3.38,3.505,3.33,3.47,3.47,6254800
2023-04-18,3.45,3.585,3.38,3.53,3.53,7009300
2023-04-19,3.47,3.68,3.42,3.61,3.61,5152800
2023-04-20,3.56,3.76,3.47,3.58,3.58,9526900
2023-04-21,3.56,3.64,3.45,3.51,3.51,6087800
2023-04-24,3.51,3.578,3.37,3.44,3.44,4841400
2023-04-25,3.37,3.37,3.1,3.16,3.16,10239300
2023-04-26,3.26,3.355,3.08,3.19,3.19,9354900
2023-04-27,3.3,3.53,3.292,3.51,3.51,7476300
2023-04-28,3.46,3.64,3.425,3.64,3.64,5263100
2023-05-01,3.59,3.73,3.49,3.57,3.57,5472200
2023-05-02,3.53,3.56,3.37,3.44,3.44,5283200
2023-05-03,3.49,3.54,3.37,3.43,3.43,5636100
2023-05-04,3.4,3.5,3.325,3.46,3.46,4593800
2023-05-05,3.55,3.63,3.53,3.61,3.61,3935700
2023-05-08,3.97,4.49,3.66,4.08,4.08,20550200
2023-05-09,4.14,4.3,3.99,4.09,4.09,13881700
2023-05-10,3.99,4.35,3.71,4.17,4.17,14548800
2023-05-11,4.18,4.43,4.04,4.06,4.06,10661700
2023-05-12,4.11,4.255,3.97,4.01,4.01,7694900
2023-05-15,3.99,4.05,3.83,4.0,4.0,5601900
2023-05-16,4.04,4.38,3.96,4.21,4.21,9923300
2023-05-17,4.36,4.52,4.11,4.5,4.5,15311500
2023-05-18,4.52,4.61,4.33,4.49,4.49,10341500
2023-05-19,4.52,4.52,4.27,4.36,4.36,8349000
2023-05-22,4.4,4.98,4.36,4.91,4.91,17559500
2023-05-23,4.99,5.25,4.85,4.93,4.93,17017900
2023-05-24,4.87,4.87,4.28,4.41,4.41,15775000
2023-05-25,4.71,4.72,3.98,4.05,4.05,22655100
2023-05-26,3.88,3.99,3.31,3.38,3.38,29029400
2023-05-30,3.49,3.528,3.3,3.49,3.49,12985500
2023-05-31,3.48,3.5,3.335,3.46,3.46,8951800
2023-06-01,3.46,3.79,3.4,3.75,3.75,10742200
2023-06-02,3.78,3.9,3.63,3.82,3.82,9271300
2023-06-05,3.82,3.85,3.71,3.8,3.8,5275700
2023-06-06,3.78,4.06,3.71,3.99,3.99,10130500
2023-06-07,4.04,4.32,4.02,4.16,4.16,12040100
2023-06-08,4.08,4.168,3.97,4.11,4.11,7539100
2023-06-09,4.14,4.25,3.98,4.03,4.03,8541200
2023-06-12,4.04,4.27,4.01,4.19,4.19,10758800
2023-06-13,4.26,4.34,4.16,4.23,4.23,9848700
2023-06-14,4.27,4.52,4.23,4.4,4.4,13668000
2023-06-15,4.35,4.38,4.04,4.06,4.06,41688000
2023-06-16,5.72,5.97,4.51,4.73,4.73,151914600
2023-06-20,4.83,6.06,4.83,6.01,6.01,113574600
2023-06-21,6.0,6.168,5.32,5.71,5.71,56813200
2023-06-22,5.58,5.59,5.11,5.32,5.32,36714400
2023-06-23,4.71,4.83,4.11,4.34,4.34,67375700
2023-06-26,4.54,4.56,4.13,4.14,4.14,33871800
2023-06-27,4.19,4.36,4.03,4.34,4.34,25218900
2023-06-28,4.43,4.89,4.33,4.74,4.74,44100600
2023-06-29,4.79,4.88,4.08,4.23,4.23,95552300
2023-06-30,4.23,4.23,3.86,3.88,3.88,51307800
2023-07-03,3.86,3.88,3.68,3.77,3.77,21293100
2023-07-05,3.77,4.03,3.7,3.91,3.91,25496700
2023-07-06,3.84,3.84,3.6,3.68,3.68,23260900
2023-07-07,3.68,3.77,3.65,3.67,3.67,16872600
2023-07-10,3.69,3.79,3.6,3.78,3.78,19144300
2023-07-11,3.77,3.93,3.7,3.88,3.88,16599900
2023-07-12,3.93,4.01,3.81,3.87,3.87,14586800
2023-07-13,3.97,4.12,3.92,4.02,4.02,23755600
2023-07-14,4.06,4.23,3.75,3.8,3.8,28810800
2023-07-17,3.83,3.835,3.69,3.79,3.79,17631800
2023-07-18,3.78,3.91,3.76,3.8,3.8,13049800
2023-07-19,3.85,4.05,3.84,3.98,3.98,18911900
