Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,20.1,20.59,20.040001,20.530001,20.478701,1068200
2022-10-26,20.559999,21.24,20.540001,21.0,20.947527,1516300
2022-10-27,21.32,21.33,20.530001,20.57,20.5186,1805600
2022-10-28,20.59,20.74,20.200001,20.67,20.618351,1092900
2022-10-31,20.33,20.530001,19.969999,20.200001,20.149527,1806000
2022-11-01,20.690001,20.940001,20.290001,20.299999,20.249275,825900
2022-11-02,20.290001,20.540001,19.639999,19.65,19.600899,1211100
2022-11-03,19.66,20.110001,19.4,19.719999,19.670725,1006300
2022-11-04,20.4,20.49,19.76,20.24,20.189425,1471100
2022-11-07,20.450001,20.91,20.139999,20.799999,20.748026,1657200
2022-11-08,20.85,21.5,20.629999,21.200001,21.147028,2692700
2022-11-09,21.0,21.049999,20.09,20.129999,20.079699,2409000
2022-11-10,21.0,21.219999,20.700001,21.219999,21.166975,1799300
2022-11-11,21.41,21.98,21.27,21.76,21.705627,1948700
2022-11-14,21.73,21.799999,21.309999,21.469999,21.416351,726600
2022-11-15,21.84,21.91,21.51,21.65,21.595901,1105300
2022-11-16,21.4,21.52,20.76,20.77,20.718102,1819500
2022-11-17,20.35,20.610001,20.16,20.48,20.428825,2461500
2022-11-18,20.49,20.629999,20.280001,20.540001,20.488676,1488400
2022-11-21,20.26,20.4,19.809999,20.059999,20.009874,1849800
2022-11-22,20.48,20.67,20.25,20.65,20.5984,881000
2022-11-23,20.59,20.98,20.51,20.959999,20.907625,727100
2022-11-25,21.0,21.1,20.73,20.92,20.867725,399500
2022-11-28,20.6,20.73,20.110001,20.17,20.1196,1247700
2022-11-29,20.290001,20.57,20.280001,20.440001,20.388926,809600
2022-11-30,20.620001,21.57,20.620001,21.49,21.436302,3206600
2022-12-01,21.559999,21.68,20.940001,20.940001,20.887676,1444500
2022-12-02,20.870001,21.030001,20.610001,21.01,20.957502,1486800
2022-12-05,20.84,21.01,19.969999,20.0,19.950026,2346100
2022-12-06,20.1,20.110001,19.370001,19.49,19.441299,2231200
2022-12-07,19.41,19.66,19.209999,19.43,19.381449,1516200
2022-12-08,19.74,19.99,19.59,19.85,19.8004,1780700
2022-12-09,19.85,20.120001,19.58,19.6,19.551025,1582800
2022-12-12,19.690001,19.870001,19.639999,19.84,19.790424,1690100
2022-12-13,20.26,20.379999,19.77,19.85,19.8004,1408800
2022-12-14,19.879999,19.969999,19.540001,19.76,19.710625,1566800
2022-12-15,19.5,19.5,19.219999,19.360001,19.311625,1773800
2022-12-16,19.32,19.540001,19.26,19.49,19.441299,3603300
2022-12-19,19.5,19.51,19.01,19.07,19.022348,1992100
2022-12-20,19.09,19.42,19.0,19.280001,19.231825,2425400
2022-12-21,19.440001,19.879999,19.440001,19.860001,19.810375,1688300
2022-12-22,19.809999,19.83,19.139999,19.459999,19.411373,2660700
2022-12-23,19.51,19.889999,19.389999,19.809999,19.7605,1209800
2022-12-27,19.959999,20.34,19.84,20.190001,20.139551,1847000
2022-12-28,20.120001,20.120001,19.6,19.610001,19.561001,1731400
2022-12-29,19.82,19.959999,19.700001,19.92,19.92,553000
2022-12-30,19.780001,20.139999,19.5,20.08,20.08,1099500
2023-01-03,20.190001,20.32,19.92,20.02,20.02,1580000
2023-01-04,20.110001,20.23,19.85,20.08,20.08,1576700
2023-01-05,19.99,20.17,19.68,20.110001,20.110001,1053100
2023-01-06,20.42,21.219999,20.23,21.17,21.17,2652100
2023-01-09,21.51,21.959999,21.49,21.540001,21.540001,2398300
2023-01-10,21.620001,21.889999,21.43,21.85,21.85,1095600
2023-01-11,22.02,22.219999,21.620001,21.870001,21.870001,1247900
2023-01-12,22.040001,22.07,21.57,22.02,22.02,1198600
2023-01-13,21.92,22.18,21.780001,22.139999,22.139999,1042800
2023-01-17,22.139999,22.16,21.76,21.83,21.83,1457200
2023-01-18,22.0,22.209999,21.33,21.34,21.34,2184300
2023-01-19,21.139999,21.719999,21.040001,21.68,21.68,1554300
