Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,35.91,36.48,35.799999,36.43,34.661739,25496500
2022-10-26,36.380001,36.709999,36.200001,36.43,34.661739,20328200
2022-10-27,36.689999,36.720001,36.130001,36.18,34.423874,20268000
2022-10-28,36.799999,38.040001,36.57,37.669998,35.841549,31824300
2022-10-31,37.509998,37.540001,37.02,37.369999,35.55611,26630600
2022-11-01,37.98,38.09,37.299999,37.369999,35.55611,22968900
2022-11-02,37.25,38.349998,37.16,37.709999,35.879608,30648900
2022-11-03,37.360001,37.540001,37.119999,37.150002,35.34679,22329800
2022-11-04,37.349998,37.369999,36.799999,37.240002,35.432423,17599400
2022-11-07,37.32,37.450001,36.98,37.189999,35.38485,19697600
2022-11-08,37.200001,37.990002,37.16,37.869999,36.031841,17392700
2022-11-09,37.919998,38.130001,37.59,37.619999,35.79398,17574600
2022-11-10,38.299999,38.549999,37.82,38.52,36.650295,23049000
2022-11-11,38.549999,38.689999,37.810001,38.299999,36.440968,22981000
2022-11-14,38.450001,38.990002,38.299999,38.310001,36.450489,23028500
2022-11-15,38.490002,38.830002,37.459999,37.700001,35.870094,25074100
2022-11-16,37.66,38.07,37.630001,37.880001,36.041359,18962200
2022-11-17,37.549999,38.18,37.290001,38.16,36.307766,18780400
2022-11-18,38.290001,38.77,38.290001,38.549999,36.678837,17821700
2022-11-21,38.599998,39.130001,38.52,38.619999,36.745441,19184200
2022-11-22,38.84,39.32,38.84,39.200001,37.297291,19809500
2022-11-23,39.029999,39.200001,38.610001,38.919998,37.030876,14170000
2022-11-25,39.099998,39.360001,38.970001,39.02,37.126026,7725700
2022-11-28,39.009998,39.09,38.130001,38.240002,36.383888,21560900
2022-11-29,38.02,38.369999,37.950001,38.34,36.479031,14008800
2022-11-30,38.209999,39.139999,38.150002,38.98,37.087963,31358800
2022-12-01,39.18,39.23,37.810001,38.330002,36.469513,26276600
2022-12-02,37.93,38.299999,37.700001,38.18,36.326797,21677100
2022-12-05,37.98,38.110001,36.900002,37.07,35.270676,27561000
2022-12-06,36.990002,37.07,36.630001,36.889999,35.099411,26293700
2022-12-07,36.740002,37.310001,36.669998,37.169998,35.365818,23065900
2022-12-08,37.110001,37.240002,36.869999,37.099998,35.299217,19549100
2022-12-09,37.209999,37.630001,36.959999,37.400002,35.58466,20671200
2022-12-12,37.689999,37.959999,37.279999,37.950001,36.10796,19629600
2022-12-13,38.389999,38.619999,37.84,37.860001,36.022327,30176800
2022-12-14,37.869999,38.09,37.240002,37.450001,35.632233,23329800
2022-12-15,37.75,38.34,37.66,37.77,35.936699,33007200
