Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,34.400002,35.599998,34.400002,35.52,33.525997,6596900
2022-10-26,35.810001,36.130001,35.450001,35.509998,33.516556,5739600
2022-10-27,35.880001,36.220001,35.639999,35.669998,33.667576,5581600
2022-10-28,35.700001,36.639999,35.57,36.580002,34.526497,6883500
2022-10-31,36.529999,36.810001,36.23,36.5,34.450981,9705800
2022-11-01,36.66,36.700001,36.07,36.259998,34.224453,5473100
2022-11-02,36.810001,37.0,35.790001,35.810001,33.799717,8126300
2022-11-03,35.560001,35.939999,35.139999,35.740002,33.73365,5609800
2022-11-04,36.099998,37.130001,35.93,37.07,34.988987,7478700
2022-11-07,37.77,39.130001,37.700001,38.59,36.423653,12631400
2022-11-08,38.509998,39.509998,37.779999,38.290001,36.140499,8082900
2022-11-09,38.080002,38.139999,36.849998,36.889999,34.819092,6830500
2022-11-10,38.02,38.529999,37.580002,38.490002,36.329269,8825000
2022-11-11,40.389999,41.57,39.400002,41.259998,38.943768,13101300
2022-11-14,40.799999,41.540001,40.400002,40.540001,38.714577,8301900
2022-11-15,41.0,41.580002,40.25,40.650002,38.819622,6767500
2022-11-16,40.759998,41.130001,40.259998,40.389999,38.571327,4833200
2022-11-17,39.759998,40.369999,39.599998,40.130001,38.323032,5910300
2022-11-18,40.869999,40.950001,39.259998,39.75,37.960148,6945100
2022-11-21,39.830002,40.66,39.610001,40.59,38.762325,5107800
2022-11-22,41.48,41.84,41.110001,41.790001,39.908291,5697300
2022-11-23,41.599998,41.939999,41.5,41.759998,39.879639,3889500
2022-11-25,41.669998,41.970001,41.419998,41.66,39.784142,2225500
2022-11-28,41.43,41.66,40.639999,40.810001,38.97242,4687900
2022-11-29,40.900002,41.209999,40.630001,41.080002,39.230263,3213600
2022-11-30,41.310001,41.740002,40.52,41.5,39.631348,7591800
2022-12-01,41.509998,42.029999,41.060001,41.310001,39.449905,4511400
2022-12-02,40.990002,41.630001,40.849998,41.48,39.612247,4857600
2022-12-05,41.360001,41.419998,40.82,41.209999,39.354404,4501800
2022-12-06,41.279999,41.400002,40.41,40.59,38.762325,4326300
2022-12-07,40.41,40.970001,40.310001,40.650002,38.819622,3775600
2022-12-08,40.639999,40.970001,40.400002,40.900002,39.058365,3587900
2022-12-09,40.779999,40.919998,40.400002,40.43,38.609528,7710800
2022-12-12,40.599998,41.060001,40.240002,41.060001,39.211163,6156800
2022-12-13,42.009998,42.290001,40.810001,41.029999,39.18251,6089300
2022-12-14,41.040001,41.32,40.369999,40.630001,38.800522,4575300
2022-12-15,40.150002,40.279999,39.330002,39.529999,37.750053,5693500
2022-12-16,39.16,39.459999,38.549999,39.049999,37.291668,10867100
2022-12-19,39.09,39.84,39.029999,39.32,37.549507,5436400
2022-12-20,39.389999,39.830002,39.200001,39.529999,37.750053,4716900
2022-12-21,39.849998,39.93,38.32,38.599998,36.861927,7081600
2022-12-22,38.389999,38.459999,37.57,38.439999,36.709133,5997000
2022-12-23,38.560001,38.759998,38.209999,38.630001,36.890575,3476700
2022-12-27,38.619999,38.68,38.110001,38.310001,36.584988,3940100
2022-12-28,38.25,38.57,37.560001,37.580002,35.887859,4008900
2022-12-29,37.66,37.970001,37.360001,37.470001,35.782814,5251500
2022-12-30,37.240002,37.380001,36.970001,37.360001,35.677765,5406200
2023-01-03,37.849998,37.849998,36.880001,37.189999,35.515419,7377200
2023-01-04,37.599998,37.950001,36.98,37.490002,35.80191,7987000
2023-01-05,35.91,36.18,34.299999,35.189999,33.605469,19328200
2023-01-06,35.360001,36.740002,35.110001,36.610001,34.961533,10009800
2023-01-09,36.73,37.110001,36.299999,36.349998,34.713238,9435000
2023-01-10,36.349998,36.720001,36.060001,36.700001,35.047485,6341200
2023-01-11,37.200001,37.290001,36.759998,37.119999,35.448566,6098700
2023-01-12,37.299999,37.41,36.619999,36.66,35.009281,6056100
2023-01-13,36.580002,36.830002,36.119999,36.779999,35.123878,4178900
2023-01-17,36.900002,36.900002,36.16,36.330002,34.694141,6820200
2023-01-18,36.43,36.439999,35.419998,35.610001,34.006565,7128400
2023-01-19,35.599998,35.75,35.349998,35.41,33.815567,6165200
2023-01-20,35.650002,35.939999,35.130001,35.880001,34.264404,5607000
2023-01-23,35.950001,36.73,35.82,36.669998,35.018833,6287600
2023-01-24,36.060001,36.16,35.630001,35.900002,34.283508,6016600
2023-01-25,35.970001,36.439999,35.810001,36.279999,34.646389,5347600
2023-01-26,36.48,36.560001,35.990002,36.5,34.856483,4267900
2023-01-27,36.68,37.529999,36.639999,37.169998,35.496315,5950800
2023-01-30,37.040001,37.139999,36.509998,36.529999,34.885136,5196100
2023-01-31,36.5,36.889999,35.950001,36.860001,35.200279,12117100
2023-02-01,36.82,37.43,36.169998,37.18,35.505871,7963700
2023-02-02,37.299999,37.959999,37.169998,37.709999,36.012001,6829100
2023-02-03,37.700001,37.75,36.919998,37.09,35.419918,5937300
2023-02-06,37.0,37.0,36.07,36.279999,34.646389,6287200
2023-02-07,36.27,36.810001,35.959999,36.740002,35.085682,6941900
2023-02-08,36.599998,36.919998,36.380001,36.560001,34.913788,5336500
2023-02-09,36.880001,37.02,35.709999,35.810001,34.197556,6946400
2023-02-10,35.919998,36.57,35.759998,36.549999,34.904232,6610100
2023-02-13,36.549999,37.119999,36.509998,37.110001,35.439022,5498600
2023-02-14,37.080002,37.130001,36.450001,36.75,35.09523,5111900
2023-02-15,36.200001,36.529999,35.84,36.52,35.337135,5768700
2023-02-16,36.209999,36.560001,35.919998,36.32,35.143608,5046800
2023-02-17,36.400002,36.779999,36.189999,36.759998,35.569355,4192300
2023-02-21,36.380001,36.509998,36.049999,36.16,34.988792,4910600
2023-02-22,36.189999,36.34,35.900002,36.080002,34.911385,4007500
2023-02-23,36.459999,36.5,35.950001,36.209999,35.03717,4492300
2023-02-24,35.98,35.98,35.610001,35.799999,34.64045,4067100
2023-02-27,36.049999,36.080002,35.27,35.389999,34.243732,5580100
2023-02-28,35.48,35.779999,35.32,35.529999,34.379196,8847000
2023-03-01,35.25,35.41,34.98,35.200001,34.059887,4946900
2023-03-02,35.18,35.400002,34.849998,35.380001,34.234058,4656300
2023-03-03,35.59,36.209999,35.41,36.09,34.921062,5417300
2023-03-06,36.049999,36.150002,35.360001,35.450001,34.301788,7553400
2023-03-07,35.48,35.52,34.099998,34.139999,33.034222,7812400
2023-03-08,34.209999,34.540001,34.139999,34.48,33.363205,4602300
2023-03-09,34.490002,34.57,33.27,33.290001,32.211754,7442200
2023-03-10,33.369999,33.639999,32.900002,33.259998,32.182724,8611200
2023-03-13,33.02,33.73,32.939999,33.57,32.482681,8901400
2023-03-14,33.779999,33.889999,32.810001,33.290001,32.211754,7072300
2023-03-15,32.900002,33.700001,32.73,33.540001,32.453655,7484100
2023-03-16,33.23,33.630001,33.009998,33.41,32.327866,7387000
2023-03-17,33.150002,33.34,32.529999,32.91,31.844057,17224300
2023-03-20,33.099998,33.41,32.889999,33.189999,32.11499,5488700
2023-03-21,33.549999,33.830002,33.209999,33.540001,32.453655,7541500
2023-03-22,33.610001,33.709999,32.470001,32.5,31.447338,7712100
2023-03-23,32.34,32.77,32.009998,32.330002,31.282846,7579700
2023-03-24,32.380001,32.790001,31.860001,32.700001,31.640862,8105300
2023-03-27,33.119999,33.27,32.779999,32.939999,31.873085,9014400
2023-03-28,33.349998,34.389999,33.209999,33.82,32.724583,12993600
2023-03-29,33.98,34.209999,33.73,34.150002,33.043896,6922400
2023-03-30,34.52,34.919998,34.400002,34.630001,33.50835,8036600
2023-03-31,34.82,34.84,34.259998,34.580002,33.459972,6708200
2023-04-03,34.889999,35.619999,34.779999,35.459999,34.311466,9678000
2023-04-04,35.610001,35.939999,35.450001,35.849998,34.688831,7082000
2023-04-05,35.709999,36.349998,35.700001,36.119999,34.950089,8635900
2023-04-06,36.060001,36.200001,35.560001,35.779999,34.621101,5632100
2023-04-10,35.759998,36.130001,35.709999,36.099998,34.930733,5640700
2023-04-11,36.220001,36.450001,36.139999,36.310001,35.133938,4674700
2023-04-12,36.549999,36.580002,35.599998,35.689999,34.534012,5295000
2023-04-13,35.669998,35.790001,35.43,35.779999,34.621101,4749500
2023-04-14,35.790001,35.970001,35.119999,35.32,34.176003,3806100
2023-04-17,35.400002,35.98,35.349998,35.939999,34.775917,4344100
2023-04-18,36.049999,36.049999,35.389999,35.580002,34.427578,4850800
2023-04-19,35.450001,35.470001,34.630001,34.830002,33.701874,6338600
2023-04-20,34.549999,36.139999,34.369999,35.369999,34.22438,11551800
2023-04-21,35.369999,35.470001,34.93,35.27,34.127621,4780500
2023-04-24,35.32,35.52,35.169998,35.5,34.35017,2490100
2023-04-25,35.419998,35.549999,34.860001,34.889999,33.759926,4364000
2023-04-26,34.57,34.939999,34.560001,34.810001,33.682518,3573500
2023-04-27,34.860001,35.200001,34.82,35.099998,33.963127,6040500
2023-04-28,35.139999,35.380001,34.959999,35.25,34.108265,11878500
2023-05-01,35.299999,35.360001,34.540001,34.610001,33.488998,5128200
2023-05-02,34.59,34.599998,32.869999,33.5,32.414948,8990100
2023-05-03,33.259998,33.330002,31.870001,31.959999,30.924828,14148900
2023-05-04,31.959999,32.200001,31.379999,31.549999,30.528109,7069800
2023-05-05,31.75,32.330002,31.75,32.169998,31.128025,6666100
2023-05-08,32.119999,32.18,31.52,31.66,30.634546,7021100
2023-05-09,31.5,31.6,31.200001,31.440001,30.421673,7951600
2023-05-10,31.57,31.77,31.190001,31.59,30.566813,6884600
2023-05-11,31.48,31.52,31.02,31.17,30.160416,5341200
2023-05-12,31.34,31.389999,30.860001,31.07,30.063656,4846100
2023-05-15,31.07,31.52,30.940001,31.5,30.479729,6351300
2023-05-16,31.42,31.6,31.08,31.35,30.334587,5054600
2023-05-17,31.559999,32.080002,31.5,32.040001,31.002239,7651200
2023-05-18,31.51,31.549999,31.08,31.459999,30.904005,6540200
2023-05-19,31.5,31.74,31.16,31.280001,30.727186,4856300
2023-05-22,31.190001,31.27,30.15,31.190001,30.638777,10233800
2023-05-23,31.110001,31.860001,30.98,31.6,31.041531,7485500
2023-05-24,31.6,31.719999,30.74,30.790001,30.245848,6848200
2023-05-25,30.26,30.459999,29.75,29.969999,29.440338,8881600
2023-05-26,29.790001,30.129999,29.48,30.01,29.479631,7269700
2023-05-30,29.75,29.959999,29.5,29.93,29.401045,7507900
2023-05-31,29.85,30.450001,29.76,30.370001,29.833269,10593100
2023-06-01,30.290001,30.629999,30.01,30.32,29.784153,7709300
2023-06-02,30.58,31.23,30.469999,31.190001,30.638777,7211600
2023-06-05,31.32,31.969999,31.120001,31.25,30.697716,7051200
2023-06-06,31.17,31.58,30.969999,31.530001,30.972769,4436100
2023-06-07,31.530001,32.049999,31.24,31.93,31.3657,6418400
2023-06-08,31.93,31.969999,31.559999,31.85,31.287113,4410400
2023-06-09,31.780001,31.870001,30.9,31.42,30.864712,6229400
2023-06-12,31.559999,31.82,31.389999,31.639999,31.080824,5800100
2023-06-13,31.790001,32.16,31.469999,31.950001,31.385345,6515500
2023-06-14,32.200001,32.34,31.43,31.51,30.953121,8688600
2023-06-15,31.610001,32.139999,31.610001,32.02,31.454109,8573500
2023-06-16,31.83,32.810001,31.73,32.669998,32.092617,16018300
2023-06-20,32.619999,32.889999,32.330002,32.389999,31.817568,11314400
2023-06-21,32.32,32.529999,31.48,31.559999,31.002237,10387800
2023-06-22,31.65,32.0,31.48,31.889999,31.326405,5947300
2023-06-23,31.73,31.799999,31.299999,31.4,30.845064,15844800
2023-06-26,31.299999,31.879999,31.139999,31.59,31.031708,11511400
2023-06-27,28.559999,29.17,28.139999,28.639999,28.133842,46928300
2023-06-28,28.51,29.08,28.200001,29.08,28.566067,18375200
2023-06-29,28.889999,29.219999,28.280001,28.370001,27.868616,15715400
2023-06-30,28.440001,28.629999,28.24,28.49,27.986494,12868000
2023-07-03,28.389999,29.030001,28.309999,29.02,28.507128,6966600
2023-07-05,28.879999,29.51,28.67,29.26,28.742886,9073700
2023-07-06,29.1,29.26,28.67,29.110001,28.595537,9876000
2023-07-07,29.1,29.450001,28.940001,29.1,28.585714,11088300
2023-07-10,29.1,29.84,29.040001,29.790001,29.263519,8546600
2023-07-11,29.950001,30.59,29.84,30.57,30.029734,8815800
2023-07-12,30.889999,31.1,30.280001,30.32,29.784153,7572300
2023-07-13,30.299999,30.43,29.65,29.74,29.214403,10933800
2023-07-14,29.74,29.879999,29.16,29.200001,28.683947,9534200
2023-07-17,29.110001,29.23,28.860001,29.120001,28.60536,6437300
2023-07-18,29.09,29.719999,29.07,29.58,29.05723,6256000
2023-07-19,29.65,30.040001,29.6,29.93,29.401045,6155200
2023-07-20,30.049999,30.309999,29.92,30.24,29.705566,7325800
2023-07-21,30.24,30.58,29.93,30.459999,29.921677,17543000
2023-07-24,30.52,30.68,30.33,30.639999,30.098495,6310300
2023-07-25,30.639999,30.74,30.370001,30.690001,30.147614,6046600
2023-07-26,30.719999,30.98,30.65,30.85,30.304787,5848300
2023-07-27,30.940001,31.32,30.5,30.629999,30.088673,8259900
2023-07-28,30.719999,30.860001,29.67,29.799999,29.273342,11323200
2023-07-31,29.84,30.32,29.82,29.969999,29.440338,10253700
2023-08-01,29.969999,30.209999,29.440001,29.57,29.047407,6534100
2023-08-02,29.34,30.780001,29.15,30.67,30.127966,9523700
2023-08-03,30.719999,30.790001,30.01,30.309999,29.774328,6350600
2023-08-04,30.379999,30.6,29.809999,29.860001,29.332283,6490600
2023-08-07,29.9,30.15,29.799999,29.879999,29.351927,4835500
2023-08-08,29.799999,29.84,29.110001,29.530001,29.008114,8043600
2023-08-09,29.469999,29.85,29.23,29.26,28.742886,6459900
2023-08-10,29.360001,29.74,29.200001,29.23,28.713415,6082300
2023-08-11,29.26,29.370001,29.120001,29.35,28.831295,4464100
2023-08-14,29.35,29.41,29.030001,29.07,28.556244,5444000
2023-08-15,28.950001,28.98,28.59,28.6,28.094551,5813200
2023-08-16,28.639999,28.73,28.18,28.190001,27.691797,6109000
2023-08-17,27.92,28.26,27.120001,27.16,26.679998,13469000
2023-08-18,26.67,26.969999,26.51,26.540001,26.540001,8928900
2023-08-21,26.540001,26.610001,26.209999,26.440001,26.440001,6833100
2023-08-22,26.469999,26.709999,26.120001,26.540001,26.540001,9178800
2023-08-23,26.559999,26.709999,26.27,26.540001,26.540001,6142500
2023-08-24,26.4,26.51,25.299999,25.32,25.32,13169200
2023-08-25,25.32,25.559999,24.969999,25.26,25.26,10934300
2023-08-28,25.299999,25.51,24.99,25.17,25.17,8282300
2023-08-29,25.290001,25.559999,25.200001,25.540001,25.540001,6892600
2023-08-30,25.629999,25.77,25.450001,25.6,25.6,5881000
