Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,81.540001,84.129997,81.459999,84.089996,84.089996,2992300
2022-10-26,82.349998,85.459999,82.190002,83.370003,83.370003,2599700
2022-10-27,83.68,85.029999,82.470001,82.610001,82.610001,2579400
2022-10-28,81.735001,84.245003,81.32,84.209999,84.209999,2370800
2022-10-31,83.690002,84.574997,82.339996,83.440002,83.440002,1908600
2022-11-01,85.5,86.309998,82.790001,82.889999,82.889999,1834900
2022-11-02,83.279999,84.360001,78.589996,78.599998,78.599998,3381000
2022-11-03,77.800003,81.230003,77.230003,78.389999,78.389999,3156400
2022-11-04,79.440002,79.739998,75.834999,77.459999,77.459999,3969300
2022-11-07,78.07,80.32,77.260002,79.610001,79.610001,3317800
2022-11-08,80.220001,81.934998,78.010002,78.309998,78.309998,3987100
2022-11-09,77.529999,77.529999,70.919998,71.839996,71.839996,6019800
2022-11-10,76.870003,82.349998,76.75,82.230003,82.230003,4908600
2022-11-11,81.459999,89.669998,80.050003,88.32,88.32,5906400
2022-11-14,86.720001,87.989998,84.209999,84.349998,84.349998,2883600
2022-11-15,88.25,89.370003,85.720001,87.440002,87.440002,2776500
2022-11-16,85.059998,85.230003,83.129997,83.5,83.5,2709400
2022-11-17,81.199997,83.209999,80.339996,82.589996,82.589996,2284100
2022-11-18,83.339996,83.605003,80.139999,81.639999,81.639999,3125300
2022-11-21,81.209999,82.517998,79.769997,80.260002,80.260002,7234000
2022-11-22,75.18,77.440002,71.900002,77.150002,77.150002,15729400
2022-11-23,76.139999,77.279999,74.849998,76.139999,76.139999,4938100
2022-11-25,75.309998,76.989998,74.830002,75.400002,75.400002,2658000
2022-11-28,74.720001,76.5,71.300003,71.589996,71.589996,6245400
2022-11-29,71.660004,72.620003,70.290001,70.57,70.57,4879300
2022-11-30,70.760002,75.440002,69.540001,75.43,75.43,6213800
2022-12-01,75.889999,81.690002,75.858002,77.43,77.43,4777700
2022-12-02,74.580002,76.360001,73.849998,74.309998,74.309998,3296300
2022-12-05,74.260002,75.220001,72.540001,72.900002,72.900002,2942800
2022-12-06,72.790001,73.0,70.879997,71.470001,71.470001,2661100
2022-12-07,71.25,71.464996,69.740997,69.870003,69.870003,3422100
2022-12-08,70.120003,72.410004,68.879997,72.360001,72.360001,3056300
2022-12-09,72.330002,73.739998,71.853996,72.160004,72.160004,2185200
2022-12-12,70.910004,73.720001,70.110001,73.690002,73.690002,2836900
2022-12-13,77.529999,79.379997,73.010002,74.050003,74.050003,4017800
2022-12-14,73.650002,75.080002,72.029999,73.220001,73.220001,3570300
2022-12-15,71.68,72.309998,69.809998,70.199997,70.199997,3700700
2022-12-16,69.82,70.790001,69.550003,69.860001,69.860001,4695600
2022-12-19,69.410004,70.25,68.849998,69.089996,69.089996,3182500
2022-12-20,68.449997,70.339996,67.919998,68.559998,68.559998,2936000
2022-12-21,68.709999,70.961998,67.879997,69.93,69.93,3254100
2022-12-22,68.370003,68.582001,64.830002,65.940002,65.940002,4180100
2022-12-23,65.610001,66.660004,65.010002,65.889999,65.889999,2209200
2022-12-27,64.75,66.18,63.549999,65.459999,65.459999,3581800
2022-12-28,65.25,66.849998,64.769997,65.360001,65.360001,2311200
2022-12-29,66.279999,68.349998,66.18,68.0,68.0,2135300
2022-12-30,66.550003,67.82,66.360001,67.739998,67.739998,1874600
2023-01-03,69.010002,69.330002,66.160004,66.660004,66.660004,2797600
2023-01-04,67.620003,68.010002,65.879997,67.650002,67.650002,3209600
2023-01-05,66.800003,67.120003,64.93,65.620003,65.620003,2040100
2023-01-06,65.970001,69.900002,65.599998,69.510002,69.510002,4079800
2023-01-09,69.809998,72.171997,68.574997,70.080002,70.080002,3403000
2023-01-10,69.540001,71.239998,69.529999,70.860001,70.860001,1851200
2023-01-11,70.980003,71.370003,68.699997,70.010002,70.010002,3343500
2023-01-12,69.830002,70.029999,67.629997,69.910004,69.910004,3177700
2023-01-13,69.089996,70.599998,68.629997,69.489998,69.489998,2344200
2023-01-17,69.5,70.199997,67.779999,69.870003,69.870003,3776800
2023-01-18,71.0,71.370003,67.43,67.480003,67.480003,3085800
2023-01-19,66.290001,67.860001,66.250999,66.834999,66.834999,2180100
2023-01-20,67.080002,69.769997,66.684998,69.5,69.5,2838600
2023-01-23,69.0,71.510002,68.25,70.970001,70.970001,2835000
2023-01-24,70.790001,71.839996,69.199997,69.43,69.43,2227900
2023-01-25,68.110001,69.360001,66.060997,68.889999,68.889999,3202700
2023-01-26,70.43,72.370003,69.760002,71.580002,71.580002,2670000
2023-01-27,71.040001,74.540001,70.790001,74.150002,74.150002,3556900
2023-01-30,73.089996,78.440002,73.080002,73.5,73.5,7108400
2023-01-31,73.5,75.019997,73.360001,75.0,75.0,2832700
2023-02-01,75.480003,78.5,73.900002,78.110001,78.110001,3161100
2023-02-02,80.230003,84.419998,79.510002,82.839996,82.839996,5428400
2023-02-03,79.620003,81.980003,78.739998,79.540001,79.540001,3488200
2023-02-06,77.879997,79.230003,76.334999,77.07,77.07,2862200
2023-02-07,77.489998,85.129997,76.010002,84.660004,84.660004,14656800
2023-02-08,83.529999,84.440002,79.18,79.349998,79.349998,5372600
2023-02-09,80.459999,80.660004,76.459999,76.769997,76.769997,4015900
2023-02-10,75.760002,75.870003,72.870003,74.209999,74.209999,3305100
